version,2.2.0
info,balls_per_over,6
info,team,Malaysia
info,team,Bahrain
info,gender,female
info,season,2023/24
info,date,2024/02/13
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,19
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Mahirah Izzati Ismail
info,umpire,RK Yadav
info,umpire,Zahid Usman
info,reserve_umpire,Saleema Imtiaz
info,match_referee,V Bowen
info,winner,Malaysia
info,winner_runs,126
info,player,Malaysia,Wan Julia
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Siow Tzin Yee
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,SM Dhanusri
info,player,Malaysia,Aina Najwa
info,player,Bahrain,TI Gajanayake
info,player,Bahrain,Poorvaja Jagdeesha
info,player,Bahrain,Abeera Waris
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,I Suhun
info,player,Bahrain,Nishma Pereira
info,player,Bahrain,P Shetty
info,player,Bahrain,Durriya Malik
info,player,Bahrain,Sana Butt
info,player,Bahrain,Sadamali Bhakshala
info,player,Bahrain,Ashwini Govinda
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Ashwini Govinda,5581a471
info,registry,people,Durriya Malik,781ca33a
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,I Suhun,41bfb2a9
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Nishma Pereira,e466d85d
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,P Shetty,0dda36e7
info,registry,people,Poorvaja Jagdeesha,322855f7
info,registry,people,RK Yadav,a872bd90
info,registry,people,SM Dhanusri,4e4d2c20
info,registry,people,Sadamali Bhakshala,89df3901
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Sana Butt,0f49b970
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,TI Gajanayake,d577d45a
info,registry,people,V Bowen,7297ac4d
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
info,registry,people,Zahid Usman,5ee3b5bd
