version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Namibia
info,gender,female
info,season,2023/24
info,date,2023/09/27
info,event,Namibia Women tour of United Arab Emirates
info,match_number,2
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,Yasmeen Khan
info,umpire,Shiju Sam
info,umpire,SK Thottathil
info,match_referee,Iftikhar Ali
info,winner,Namibia
info,winner_wickets,9
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,I Nandakumar
info,player,United Arab Emirates,AS Patil
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,W Mwatile
info,player,Namibia,I van Zyl
info,player,Namibia,M Gorases
info,player,Namibia,SN Shihepo
info,player,Namibia,KA Green
info,player,Namibia,B Manuel
info,player,Namibia,N Benjamin
info,player,Namibia,D Foerster
info,player,Namibia,S Tuhadeleni
info,registry,people,AS Patil,ca707bdc
info,registry,people,B Manuel,06cbeba1
info,registry,people,D Foerster,5596d5bf
info,registry,people,ER Oza,fdc6b34d
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,M Gorases,d034d60a
info,registry,people,N Benjamin,58317766
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Kotte,6c8904c8
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SK Thottathil,f972456b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
