version,2.2.0
info,balls_per_over,6
info,team,Cambodia
info,team,Kuwait
info,gender,male
info,season,2024
info,date,2024/04/13
info,event,ACC Men's Premier Cup
info,match_number,5
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Cambodia
info,toss_decision,bat
info,player_of_match,R Sandaruwan
info,umpire,S Ravi
info,umpire,V Kalidas
info,reserve_umpire,Morshed Ali Khan
info,tv_umpire,Shiju Sam
info,match_referee,Prakash Bhatt
info,winner,Kuwait
info,winner_wickets,8
info,player,Cambodia,US Hathinjar
info,player,Cambodia,RV Viraj
info,player,Cambodia,RR Sharan
info,player,Cambodia,Luqman Butt
info,player,Cambodia,E Beukes
info,player,Cambodia,S Godara
info,player,Cambodia,KDACK Gunarathne
info,player,Cambodia,Phon Bunthean
info,player,Cambodia,Salvin Stanly
info,player,Cambodia,Prasad Anish
info,player,Cambodia,GC Murtaza
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Parvindar Kumar
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Ilyas Ahmed
info,player,Kuwait,Shahrukh Quddus
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,E Beukes,fbb8cf87
info,registry,people,GC Murtaza,6cc4d322
info,registry,people,Ilyas Ahmed,42a01b52
info,registry,people,KDACK Gunarathne,78ec6ff1
info,registry,people,Luqman Butt,7a6decc8
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,Parvindar Kumar,7a27bee5
info,registry,people,Phon Bunthean,8981deb8
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Prasad Anish,a21d62c9
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,RR Sharan,7cff331d
info,registry,people,RV Viraj,a744d530
info,registry,people,S Godara,dd7dd27a
info,registry,people,S Ravi,9b9ee0df
info,registry,people,Salvin Stanly,a6631b55
info,registry,people,Shahrukh Quddus,a80cc0cc
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,US Hathinjar,5f77f23a
info,registry,people,Usman Patel,415c6ccf
info,registry,people,V Kalidas,42d76418
info,registry,people,Yasin Patel,ecdd8d60
