version,2.2.0
info,balls_per_over,6
info,team,India
info,team,Bangladesh
info,gender,female
info,season,2023
info,date,2023/07/13
info,event,India Women tour of Bangladesh
info,match_number,3
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,Shamima Sultana
info,umpire,Ali Arman
info,umpire,Mahfuzur Rahman
info,reserve_umpire,Shathira Jakir
info,tv_umpire,Moniruzzaman
info,match_referee,Akhtar Ahmad
info,winner,Bangladesh
info,winner_wickets,4
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,YH Bhatia
info,player,India,AB Kaur
info,player,India,P Vastrakar
info,player,India,DB Sharma
info,player,India,M Mani
info,player,India,DP Vaidya
info,player,India,R Kanojiya
info,player,Bangladesh,S Rani
info,player,Bangladesh,Shamima Sultana
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Sultana Khatun
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Marufa Akter
info,registry,people,AB Kaur,9565fda6
info,registry,people,Akhtar Ahmad,29859e71
info,registry,people,Ali Arman,1342d8d8
info,registry,people,DB Sharma,201fef33
info,registry,people,DP Vaidya,f9ded29b
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,M Mani,8d1ade08
info,registry,people,Mahfuzur Rahman,3275b68b
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Moniruzzaman,075e9f9c
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,P Vastrakar,8026ea72
info,registry,people,R Kanojiya,6625023d
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Rani,b3f7066c
info,registry,people,Shafali Verma,d8f59089
info,registry,people,Shamima Sultana,724645f5
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Sultana Khatun,fb0c0bcc
info,registry,people,YH Bhatia,9c3d4e8a
