version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,India
info,gender,female
info,season,2022/23
info,date,2023/01/30
info,event,South Africa Women's T20I Tri-Series
info,match_number,6
info,venue,"Buffalo Park, East London"
info,city,East London
info,toss_winner,India
info,toss_decision,field
info,player_of_match,DB Sharma
info,umpire,PJ Vosloo
info,umpire,TC Mokorosi
info,reserve_umpire,RN Hendricks
info,tv_umpire,Lauren Agenbag
info,match_referee,SA Fritz
info,winner,India
info,winner_wickets,8
info,player,West Indies,HK Matthews
info,player,West Indies,RS Williams
info,player,West Indies,SA Campbelle
info,player,West Indies,D Joseph
info,player,West Indies,S Gajnabi
info,player,West Indies,Z James
info,player,West Indies,AA Alleyne
info,player,West Indies,SS Connell
info,player,West Indies,ASS Fletcher
info,player,West Indies,J Glasgow
info,player,West Indies,T Holder
info,player,India,S Mandhana
info,player,India,JI Rodrigues
info,player,India,H Deol
info,player,India,H Kaur
info,player,India,YH Bhatia
info,player,India,DP Vaidya
info,player,India,DB Sharma
info,player,India,P Vastrakar
info,player,India,S Pandey
info,player,India,RS Gayakwad
info,player,India,Renuka Singh
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,D Joseph,6d7ca3e6
info,registry,people,DB Sharma,201fef33
info,registry,people,DP Vaidya,f9ded29b
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,J Glasgow,a2632c7c
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,P Vastrakar,8026ea72
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,RN Hendricks,92edb363
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,RS Williams,406de451
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Gajnabi,c35739a1
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Pandey,5463cb7a
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,T Holder,41fd2907
info,registry,people,TC Mokorosi,e93c3cf8
info,registry,people,YH Bhatia,9c3d4e8a
info,registry,people,Z James,816af623
