version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,United Arab Emirates
info,gender,male
info,season,2023/24
info,date,2023/10/22
info,event,Nepal Tri-Nation T20I Series
info,match_number,4
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Zahoor Khan
info,umpire,DN Subedi
info,umpire,VK Jha
info,reserve_umpire,Sanjay Gurung
info,match_referee,Muhammad Javed
info,winner,United Arab Emirates
info,winner_wickets,6
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Haroon Arshad
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Hong Kong,A Shukla
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Khalid Shah
info,player,United Arab Emirates,V Aravind
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Akif Raja
info,player,United Arab Emirates,J Giyanani
info,player,United Arab Emirates,Nilansh Keswani
info,player,United Arab Emirates,Zahoor Khan
info,player,United Arab Emirates,Ali Naseer
info,registry,people,A Sharafu,06cad4f0
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Akif Raja,9d0344f3
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Asif Khan,074acfb4
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Basil Hameed,adbf0400
info,registry,people,DN Subedi,fb0a571f
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Haroon Arshad,be0f9ce9
info,registry,people,J Giyanani,2bf69ff5
info,registry,people,Khalid Shah,9e432a38
info,registry,people,M Coetzee,3f149080
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,Muhammad Javed,bde2d0ea
info,registry,people,Nilansh Keswani,424a7994
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Sanjay Gurung,0ef792dc
info,registry,people,V Aravind,cddafe26
info,registry,people,VK Jha,5d46eb72
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zahoor Khan,f0e293b0
info,registry,people,Zeeshan Ali,987187b9
