version,2.2.0
info,balls_per_over,6
info,team,Germany
info,team,Spain
info,gender,male
info,season,2022/23
info,date,2022/11/05
info,event,Spain Triangular T20I Series
info,match_number,4
info,venue,"Desert Springs Cricket Ground, Almeria"
info,city,Almeria
info,toss_winner,Spain
info,toss_decision,field
info,player_of_match,J van Heerden
info,umpire,A Elliott
info,umpire,Nilkesh Patel
info,reserve_umpire,Adnan Khan
info,winner,Germany
info,winner_runs,36
info,player,Germany,J Broad
info,player,Germany,Talha Khan
info,player,Germany,J van Heerden
info,player,Germany,MJ Richardson
info,player,Germany,DA Blignaut
info,player,Germany,Sahir Naqash
info,player,Germany,D Klein
info,player,Germany,Muslim Yar
info,player,Germany,Ghulam Ahmadi
info,player,Germany,W Behr
info,player,Germany,SVE Bharathi
info,player,Spain,D Doyle-Calle
info,player,Spain,Muhammad Yasin
info,player,Spain,Yasir Ali
info,player,Spain,P Dhiman
info,player,Spain,LA Burns
info,player,Spain,Hamza Dar
info,player,Spain,C Munoz-Mills
info,player,Spain,Mohammad Ihsan
info,player,Spain,Mohammad Kamran
info,player,Spain,C Rumistrzewicz
info,player,Spain,Raja Adeel
info,registry,people,A Elliott,f48d5563
info,registry,people,Adnan Khan,45ec7a99
info,registry,people,C Munoz-Mills,17bc032c
info,registry,people,C Rumistrzewicz,3ed4e2ad
info,registry,people,D Doyle-Calle,74be2916
info,registry,people,D Klein,aeab0d4f
info,registry,people,DA Blignaut,cfcf189f
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,Hamza Dar,557550a4
info,registry,people,J Broad,ec5160d7
info,registry,people,J van Heerden,01549705
info,registry,people,LA Burns,5b616bf0
info,registry,people,MJ Richardson,22176fe7
info,registry,people,Mohammad Ihsan,510e33d3
info,registry,people,Mohammad Kamran,1a628a92
info,registry,people,Muhammad Yasin,57888f3c
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,Nilkesh Patel,194158ae
info,registry,people,P Dhiman,16c50be4
info,registry,people,Raja Adeel,7ee25c46
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,Sahir Naqash,352e589f
info,registry,people,Talha Khan,8e5a1a7a
info,registry,people,W Behr,9a8f01b7
info,registry,people,Yasir Ali,79209272
