version,2.2.0
info,balls_per_over,6
info,team,Maldives
info,team,Thailand
info,gender,male
info,season,2023/24
info,date,2024/02/15
info,event,Quadrangular Twenty20 Series (Thailand)
info,match_number,5
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,AP Yadav
info,umpire,Arif Ansari
info,umpire,AK Rana
info,reserve_umpire,T Khalid
info,winner,Thailand
info,winner_wickets,8
info,player,Maldives,Azyan Farhath
info,player,Maldives,Umar Adam
info,player,Maldives,KTK Rodrigo
info,player,Maldives,Shaof Hassan
info,player,Maldives,Hassan Rasheed
info,player,Maldives,Mohamed Azzam
info,player,Maldives,Ismail Ali
info,player,Maldives,Ibrahim Hassan
info,player,Maldives,Ibrahim Rizan
info,player,Maldives,Nazwan Ismail
info,player,Maldives,Mohamed Ishmath
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,S Desungnoen
info,player,Thailand,AV Lazarus
info,player,Thailand,N Nuntarach
info,player,Thailand,C Pengkumta
info,player,Thailand,Robert Raina
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,N Senamontree
info,player,Thailand,K Namchaikul
info,player,Thailand,W Ngowhuad
info,registry,people,AK Rana,562d74d0
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Arif Ansari,95957b9e
info,registry,people,Azyan Farhath,3e06e7ac
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,C Pengkumta,b3540b2a
info,registry,people,Hassan Rasheed,1ca51098
info,registry,people,Ibrahim Hassan,4add4c98
info,registry,people,Ibrahim Rizan,7267e3cd
info,registry,people,Ismail Ali,5117fa55
info,registry,people,K Namchaikul,f4ccbe6f
info,registry,people,KTK Rodrigo,a482add2
info,registry,people,Mohamed Azzam,e43c9818
info,registry,people,Mohamed Ishmath,8c7b9bfc
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,N Senamontree,44e00a4c
info,registry,people,Nazwan Ismail,c8e5012c
info,registry,people,Robert Raina,8e38d470
info,registry,people,S Desungnoen,3eb26dc4
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,Shaof Hassan,f6e160d7
info,registry,people,T Khalid,9168597e
info,registry,people,Umar Adam,5d77a96a
info,registry,people,W Ngowhuad,b8cd9955
info,registry,people,Y Saranonnakkun,9c93c0a3
