version,2.2.0
info,balls_per_over,6
info,team,Qatar
info,team,Bhutan
info,gender,female
info,season,2023
info,date,2023/09/01
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,8
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bhutan
info,toss_decision,field
info,player_of_match,D Wangmo
info,umpire,LDVV Silva
info,umpire,Tabarak Dar
info,reserve_umpire,DN Subedi
info,match_referee,M Nayyar
info,winner,Bhutan
info,winner_wickets,8
info,player,Qatar,S Dhadwal
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,A Mare
info,player,Qatar,Aysha
info,player,Qatar,SA Panayan
info,player,Qatar,Shahreeennawab
info,player,Qatar,Rizpha Bano
info,player,Qatar,Aleena Khan
info,player,Qatar,T Kale
info,player,Qatar,RS Quyn
info,player,Qatar,H Agarwal
info,player,Bhutan,N Choden
info,player,Bhutan,K Dema
info,player,Bhutan,D Wangmo
info,player,Bhutan,Y Choden
info,player,Bhutan,T Zangmo
info,player,Bhutan,S Choden
info,player,Bhutan,A Gurung
info,player,Bhutan,Sonam
info,player,Bhutan,Chado Om
info,player,Bhutan,Anjuli Ghalley
info,player,Bhutan,Tshering Choden
info,registry,people,A Gurung,10854c82
info,registry,people,A Mare,57a25400
info,registry,people,Aleena Khan,97f2faf0
info,registry,people,Anjuli Ghalley,cfb49f67
info,registry,people,Aysha,37ceee4e
info,registry,people,Chado Om,f53fa89c
info,registry,people,D Wangmo,760fcf65
info,registry,people,DN Subedi,fb0a571f
info,registry,people,H Agarwal,3f886270
info,registry,people,K Dema,0b211a32
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Nayyar,b7bccddb
info,registry,people,N Choden,a904600a
info,registry,people,RS Quyn,41721f6b
info,registry,people,Rizpha Bano,c7832845
info,registry,people,S Choden,e1e0775d
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,SA Panayan,cad60789
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,Sonam,09cbca15
info,registry,people,T Kale,bc9bd4c6
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Tshering Choden,3f38caff
info,registry,people,Y Choden,6f17c546
