version,2.2.0
info,balls_per_over,6
info,team,Mexico
info,team,Bermuda
info,gender,male
info,season,2024/25
info,date,2024/12/10
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,15
info,venue,"Hurlingham Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Mexico
info,toss_decision,bat
info,player_of_match,OGL Bascome
info,umpire,M Abbott
info,umpire,Vijaya Mallela
info,reserve_umpire,A Gajjar
info,match_referee,Phil Whitticase
info,winner,Bermuda
info,winner_wickets,6
info,player,Mexico,Shashikant Laxman
info,player,Mexico,RK Singh
info,player,Mexico,KB Patil
info,player,Mexico,Luis Hermida
info,player,Mexico,Praveen Santhanakrishnan
info,player,Mexico,Shantanu Kaveri
info,player,Mexico,R Poojary
info,player,Mexico,PK Mohanarangam
info,player,Mexico,Y Jasti
info,player,Mexico,Shoaib Rafiq
info,player,Mexico,Pratik Singh Bais
info,player,Bermuda,TS Fray
info,player,Bermuda,T Manders
info,player,Bermuda,AD Dore
info,player,Bermuda,OGL Bascome
info,player,Bermuda,DC Stovell
info,player,Bermuda,D Sabir
info,player,Bermuda,Z Burgess
info,player,Bermuda,S Smith
info,player,Bermuda,DL Brangman
info,player,Bermuda,J Proctor
info,player,Bermuda,K Fubler
info,registry,people,A Gajjar,37db06ef
info,registry,people,AD Dore,aa867444
info,registry,people,D Sabir,04bc296f
info,registry,people,DC Stovell,7f6c2dae
info,registry,people,DL Brangman,dab18aa5
info,registry,people,J Proctor,01b0d0a4
info,registry,people,K Fubler,b471ff6c
info,registry,people,KB Patil,0474fd64
info,registry,people,Luis Hermida,03beb59f
info,registry,people,M Abbott,3e5f0c04
info,registry,people,OGL Bascome,94a1827c
info,registry,people,PK Mohanarangam,d73891ad
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,Pratik Singh Bais,5b351aff
info,registry,people,Praveen Santhanakrishnan,22fb205e
info,registry,people,R Poojary,d05e9052
info,registry,people,RK Singh,6e974d8f
info,registry,people,S Smith,18a0ba24
info,registry,people,Shantanu Kaveri,091880f7
info,registry,people,Shashikant Laxman,8cf61570
info,registry,people,Shoaib Rafiq,27df03d2
info,registry,people,T Manders,6d2b9724
info,registry,people,TS Fray,c7537f8a
info,registry,people,Vijaya Mallela,85b6244a
info,registry,people,Y Jasti,3377f988
info,registry,people,Z Burgess,d0042e16
