version,2.2.0
info,balls_per_over,6
info,team,Scotland
info,team,United States of America
info,gender,female
info,season,2024
info,date,2024/04/29
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,9
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,United States of America
info,toss_decision,field
info,player_of_match,KE Bryce
info,umpire,S Dambanevana
info,umpire,SB Haig
info,reserve_umpire,N Janani
info,match_referee,SM Bartlett
info,winner,Scotland
info,winner_runs,44
info,player,Scotland,S Horley
info,player,Scotland,M McColl
info,player,Scotland,KE Bryce
info,player,Scotland,SJ Bryce
info,player,Scotland,A Lister
info,player,Scotland,L Jack
info,player,Scotland,K Fraser
info,player,Scotland,PA Chatterji
info,player,Scotland,R Slater
info,player,Scotland,C Abel
info,player,Scotland,AH Maqsood
info,player,United States of America,GC Bhogle
info,player,United States of America,D Dhingra
info,player,United States of America,A Kolan
info,player,United States of America,S Sriharsha
info,player,United States of America,AI Chudasama
info,player,United States of America,JM Willathgamuwa
info,player,United States of America,G Kodali
info,player,United States of America,IM Vaghela
info,player,United States of America,JL Aras
info,player,United States of America,SR Thadani
info,player,United States of America,S Immadi
info,registry,people,A Kolan,85f5735b
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,AI Chudasama,9414a81c
info,registry,people,C Abel,d92d3563
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,G Kodali,f606177e
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JL Aras,e21475a5
info,registry,people,JM Willathgamuwa,0a10b268
info,registry,people,K Fraser,a0a65375
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Jack,e565ceb7
info,registry,people,M McColl,d5fa2ab3
info,registry,people,N Janani,d06a665d
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,R Slater,8a452195
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Horley,8cd72e0b
info,registry,people,S Immadi,a6dd06d6
info,registry,people,S Sriharsha,89f6c26f
info,registry,people,SB Haig,811655b3
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SM Bartlett,7ba18406
info,registry,people,SR Thadani,76bda023
