version,2.2.0
info,balls_per_over,6
info,team,Belgium
info,team,France
info,gender,male
info,season,2024
info,date,2024/05/11
info,event,Mdina Cup
info,match_number,6
info,venue,Dreux Sport Cricket Club
info,city,Dreux
info,toss_winner,Belgium
info,toss_decision,bat
info,player_of_match,Ikbal Hossain
info,umpire,Atif Zahir
info,umpire,Waseem Dar
info,reserve_umpire,Niaz Chaudhry
info,match_referee,Asif Zahir
info,winner,France
info,winner_wickets,7
info,player,Belgium,S Jamil
info,player,Belgium,Sazzad Hosen
info,player,Belgium,F Khaliq
info,player,Belgium,B Niaz
info,player,Belgium,Sheraz Sheikh
info,player,Belgium,Shaheryar Butt
info,player,Belgium,Saber Zakhil
info,player,Belgium,Waqas Ali
info,player,Belgium,Murid Ekrami
info,player,Belgium,Zaki Ul Hassan
info,player,Belgium,Sajad Ahmadzai
info,player,France,H Niaz
info,player,France,Zain Ahmad
info,player,France,G Mckeon
info,player,France,C Roberts
info,player,France,L Canessane
info,player,France,Mukhtar Ghulami
info,player,France,Ikbal Hossain
info,player,France,R Mangal
info,player,France,Rahmatullah Mangal
info,player,France,Noman Amjad
info,player,France,S Stanikzay
info,registry,people,Asif Zahir,2f4f7785
info,registry,people,Atif Zahir,bdebac8a
info,registry,people,B Niaz,b7824537
info,registry,people,C Roberts,07ac9c54
info,registry,people,F Khaliq,c17dcc29
info,registry,people,G Mckeon,31366b7e
info,registry,people,H Niaz,d0e2e8ea
info,registry,people,Ikbal Hossain,e01d2dae
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mukhtar Ghulami,d3b1d991
info,registry,people,Murid Ekrami,76b19864
info,registry,people,Niaz Chaudhry,5abe5d27
info,registry,people,Noman Amjad,c079c66a
info,registry,people,R Mangal,5360c9be
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,S Jamil,3d6617c6
info,registry,people,S Stanikzay,c5445834
info,registry,people,Saber Zakhil,036dcf9b
info,registry,people,Sajad Ahmadzai,6978bff0
info,registry,people,Sazzad Hosen,4dd6a707
info,registry,people,Shaheryar Butt,b6bad765
info,registry,people,Sheraz Sheikh,4aad6842
info,registry,people,Waqas Ali,2fd4669a
info,registry,people,Waseem Dar,1a335960
info,registry,people,Zain Ahmad,ea2c0aff
info,registry,people,Zaki Ul Hassan,1d6d8a8b
