version,2.2.0
info,balls_per_over,6
info,team,Kenya
info,team,Uganda
info,gender,male
info,season,2023
info,date,2023/06/18
info,event,Africa Continental Cup
info,match_number,16
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,S Sesazi
info,umpire,D Odhiambo
info,umpire,IO Oyieko
info,reserve_umpire,J Karuri
info,winner,Uganda
info,winner_wickets,5
info,player,Kenya,RN Patel
info,player,Kenya,CO Obuya
info,player,Kenya,S Singh
info,player,Kenya,NM Odhiambo
info,player,Kenya,RR Patel
info,player,Kenya,SR Bhudia
info,player,Kenya,SO Ngoche
info,player,Kenya,LN Oluoch
info,player,Kenya,GM Muthui
info,player,Kenya,Vraj Patel
info,player,Kenya,Vishil Patel
info,player,Uganda,S Sesazi
info,player,Uganda,R Obuya
info,player,Uganda,K Waiswa
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,DM Nakrani
info,player,Uganda,P Murungi
info,player,Uganda,RG Mukasa
info,player,Uganda,H Ssenyondo
info,player,Uganda,CN Kakuru
info,player,Uganda,S Nsubuga
info,player,Uganda,AR Ramjani
info,registry,people,AR Ramjani,30d8136b
info,registry,people,CN Kakuru,f6aed283
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Odhiambo,45994517
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,GM Muthui,d7e51f87
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Karuri,5a9b694c
info,registry,people,K Waiswa,a3a275ec
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,R Obuya,6bc04a3e
info,registry,people,RG Mukasa,011f6b42
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,S Nsubuga,58cb36aa
info,registry,people,S Sesazi,c2c975f9
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Vishil Patel,3df8f9d5
info,registry,people,Vraj Patel,2af28253
