version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,China
info,gender,female
info,season,2023/24
info,date,2024/02/10
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,2
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,KKN Egodage
info,umpire,N Perera
info,umpire,Zahid Usman
info,reserve_umpire,Shivani Mishra
info,match_referee,Ramesh Menon
info,winner,United Arab Emirates
info,winner_runs,121
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,Mehak Thakur
info,player,United Arab Emirates,S Kotte
info,player,China,Sun Meng Yao
info,player,China,Zi Mei
info,player,China,Han Lili
info,player,China,Huang Zhuo
info,player,China,M Zhu
info,player,China,Zheng Lili
info,player,China,Wenjing Yin
info,player,China,Zhi Xinyu
info,player,China,Mengting Liu
info,player,China,Chen Xinyu
info,player,China,Xu Qian
info,registry,people,Chen Xinyu,b2cd8abe
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Hotchandani,f537d39c
info,registry,people,Han Lili,cd7134f5
info,registry,people,Huang Zhuo,edbbe245
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,M Zhu,36c3302e
info,registry,people,Mehak Thakur,cf712c6d
info,registry,people,Mengting Liu,1119a645
info,registry,people,N Perera,129709f9
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Sun Meng Yao,84a96566
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,Wenjing Yin,1342d7f6
info,registry,people,Xu Qian,4d382b64
info,registry,people,Zahid Usman,5ee3b5bd
info,registry,people,Zheng Lili,9c2bb7da
info,registry,people,Zhi Xinyu,78ac71b0
info,registry,people,Zi Mei,72070f05
