version,2.2.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,Bhutan
info,gender,male
info,season,2024/25
info,date,2024/11/22
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,9
info,venue,University of Doha for Science and Technology
info,city,Doha
info,toss_winner,Bhutan
info,toss_decision,field
info,player_of_match,Waji Ul Hassan
info,umpire,Akbar Ali
info,umpire,Shivani Mishra
info,reserve_umpire,Izatullah Safi
info,match_referee,Ali Naqvi
info,winner,Saudi Arabia
info,winner_runs,85
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Abdul Wahid
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,S Sankar
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Shahzaib
info,player,Bhutan,S Pradhan
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,T Jamtsho
info,player,Bhutan,RM Dorji
info,player,Bhutan,J Singye
info,player,Bhutan,GK Ghalley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Tshering Tashi
info,player,Bhutan,Karma Dorji
info,player,Bhutan,S Yeshi
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Abdul Wahid,40aea524
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Faisal Khan,a7553f15
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,J Singye,28574428
info,registry,people,Karma Dorji,80058153
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Sankar,69997d9d
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Shahzaib,befef38f
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Tshering Tashi,596c60cf
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Zain Ul Abidin,b93b87ae
