version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,Sri Lanka
info,gender,female
info,season,2024
info,date,2024/06/24
info,event,West Indies Women tour of Sri Lanka
info,match_number,1
info,venue,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
info,city,Hambantota
info,toss_winner,Sri Lanka
info,toss_decision,field
info,umpire,Lauren Agenbag
info,umpire,RMPJ Rambukwella
info,reserve_umpire,LDVV Silva
info,tv_umpire,RR Wimalasiri
info,match_referee,JM Pereira
info,winner,Sri Lanka
info,winner_wickets,4
info,player,West Indies,SR Taylor
info,player,West Indies,HK Matthews
info,player,West Indies,Q Joseph
info,player,West Indies,SA Campbelle
info,player,West Indies,CN Nation
info,player,West Indies,AA Alleyne
info,player,West Indies,CA Henry
info,player,West Indies,ASS Fletcher
info,player,West Indies,Z James
info,player,West Indies,SS Connell
info,player,West Indies,K Ramharack
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,EMKNH Senavirathna
info,player,Sri Lanka,KADA Kanchana
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,K Kavindi
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,CA Henry,75820733
info,registry,people,CN Nation,639000b6
info,registry,people,CS Fraser,fb9a8cc3
info,registry,people,EMKNH Senavirathna,ec691a5b
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JM Pereira,f9a4a039
info,registry,people,K Kavindi,2fa916b3
info,registry,people,K Ramharack,321c980e
info,registry,people,KADA Kanchana,4ac6664d
info,registry,people,LDVV Silva,6e226c31
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,NND de Silva,f0b4294e
info,registry,people,Q Joseph,d6164dc0
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SIP Fernando,5838cb64
info,registry,people,SR Taylor,92cf79a8
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,WK Dilhari,c34a15e6
info,registry,people,Z James,816af623
