version,2.2.0
info,balls_per_over,6
info,team,Singapore
info,team,Myanmar
info,gender,female
info,season,2024/25
info,date,2024/10/21
info,event,Singapore Women's T20I Tri-Series
info,match_number,1
info,venue,Singapore National Cricket Ground
info,city,Singapore
info,toss_winner,Singapore
info,toss_decision,bat
info,player_of_match,MPP San
info,umpire,KSVP Venu Madhav
info,umpire,VL Sinha
info,reserve_umpire,R Arun Prasanth
info,match_referee,A Natarajan
info,winner,Myanmar
info,winner_wickets,7
info,player,Singapore,GK Diviya
info,player,Singapore,Smriti Anand
info,player,Singapore,Hassan Nawaz
info,player,Singapore,Vinu Kumar
info,player,Singapore,RR Seth
info,player,Singapore,DA Galia
info,player,Singapore,Ada Bhasin
info,player,Singapore,PSR Gurusinghe
info,player,Singapore,Riyaa Bhasin
info,player,Singapore,JS Pooranakaran
info,player,Singapore,I Shukla
info,player,Myanmar,KM Myat
info,player,Myanmar,TT Aung
info,player,Myanmar,MPP San
info,player,Myanmar,ZL Win
info,player,Myanmar,TT Soe
info,player,Myanmar,ZT Kyaw
info,player,Myanmar,LL Htun
info,player,Myanmar,ZL Thoon
info,player,Myanmar,HH Aung
info,player,Myanmar,Zon Lin
info,player,Myanmar,SY Win
info,registry,people,A Natarajan,a2b73ae0
info,registry,people,Ada Bhasin,b1c113d7
info,registry,people,DA Galia,ae0b5b95
info,registry,people,GK Diviya,992979fa
info,registry,people,HH Aung,860042f6
info,registry,people,Hassan Nawaz,26a8b2fe
info,registry,people,I Shukla,ce490298
info,registry,people,JS Pooranakaran,417bde96
info,registry,people,KM Myat,c1b4e25c
info,registry,people,KSVP Venu Madhav,8c7fb752
info,registry,people,LL Htun,ec687c3a
info,registry,people,MPP San,5bc290a2
info,registry,people,PSR Gurusinghe,591a7004
info,registry,people,R Arun Prasanth,ca13b949
info,registry,people,RR Seth,7ccc0a38
info,registry,people,Riyaa Bhasin,3ff26cea
info,registry,people,SY Win,33d65ab4
info,registry,people,Smriti Anand,6a532414
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,VL Sinha,93cfdc7e
info,registry,people,Vinu Kumar,3775b9f9
info,registry,people,ZL Thoon,8d0543ce
info,registry,people,ZL Win,b5714cf9
info,registry,people,ZT Kyaw,cdf63aaa
info,registry,people,Zon Lin,3b492b8d
