version,2.2.0
info,balls_per_over,6
info,team,Botswana
info,team,Kenya
info,gender,female
info,season,2023/24
info,date,2023/12/13
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,9
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Kenya
info,toss_decision,field
info,player_of_match,Q Abel
info,umpire,N Perera
info,umpire,S Kintu
info,reserve_umpire,S Dambanevana
info,match_referee,O Chirombe
info,winner,Kenya
info,winner_runs,20
info,method,D/L
info,player,Botswana,A Mokgotlhe
info,player,Botswana,F Samanyika
info,player,Botswana,S Mosweu
info,player,Botswana,L Mophakedi
info,player,Botswana,T Motlhabaphuti
info,player,Botswana,G Matome
info,player,Botswana,P Mapotsane
info,player,Botswana,T Shadrack
info,player,Botswana,W Moutswi
info,player,Botswana,O Keitsemang
info,player,Botswana,M Phiase
info,player,Kenya,Q Abel
info,player,Kenya,MI Khagoitsa
info,player,Kenya,E Wachira
info,player,Kenya,M Mwangi
info,player,Kenya,V Ooko
info,player,Kenya,L Idambo
info,player,Kenya,F Odhiambo
info,player,Kenya,C Muthoni
info,player,Kenya,J Abwom
info,player,Kenya,KV Mehta
info,player,Kenya,J Ogolla
info,registry,people,A Mokgotlhe,781f1a40
info,registry,people,C Muthoni,f85462b1
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,F Samanyika,c42eed38
info,registry,people,G Matome,a6898f7a
info,registry,people,J Abwom,8d634767
info,registry,people,J Ogolla,a518b6c9
info,registry,people,KV Mehta,f7ae66f3
info,registry,people,L Idambo,27339093
info,registry,people,L Mophakedi,c8cdbb92
info,registry,people,M Mwangi,72de0105
info,registry,people,M Phiase,537cc79f
info,registry,people,MI Khagoitsa,2d772f77
info,registry,people,N Perera,129709f9
info,registry,people,O Chirombe,6345307f
info,registry,people,O Keitsemang,5145239b
info,registry,people,P Mapotsane,9ea555a4
info,registry,people,Q Abel,2e988457
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Kintu,ff387f93
info,registry,people,S Mosweu,10726a80
info,registry,people,T Motlhabaphuti,1fb3e04f
info,registry,people,T Shadrack,6d972d02
info,registry,people,V Ooko,2ae76bf6
info,registry,people,W Moutswi,e8c42000
