version,2.2.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2022/23
info,date,2022/11/10
info,event,ICC Men's T20 World Cup
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,England
info,toss_decision,field
info,player_of_match,AD Hales
info,umpire,HDPK Dharmasena
info,umpire,PR Reiffel
info,reserve_umpire,RJ Tucker
info,tv_umpire,CB Gaffaney
info,match_referee,DC Boon
info,winner,England
info,winner_wickets,10
info,player,India,KL Rahul
info,player,India,RG Sharma
info,player,India,V Kohli
info,player,India,SA Yadav
info,player,India,HH Pandya
info,player,India,RR Pant
info,player,India,R Ashwin
info,player,India,AR Patel
info,player,India,B Kumar
info,player,India,Mohammed Shami
info,player,India,Arshdeep Singh
info,player,England,JC Buttler
info,player,England,AD Hales
info,player,England,PD Salt
info,player,England,BA Stokes
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,MM Ali
info,player,England,SM Curran
info,player,England,CR Woakes
info,player,England,CJ Jordan
info,player,England,AU Rashid
info,registry,people,AD Hales,92aeac25
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Kumar,2e81a32d
info,registry,people,BA Stokes,e087956b
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CR Woakes,4c5d73db
info,registry,people,DC Boon,e79a1fe3
info,registry,people,HC Brook,4ae1755b
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,HH Pandya,dbe50b21
info,registry,people,JC Buttler,99b75528
info,registry,people,KL Rahul,b17e2f24
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,PD Salt,3d284ca3
info,registry,people,PR Reiffel,c9354f29
info,registry,people,R Ashwin,495d42a5
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RR Pant,919a3be2
info,registry,people,SA Yadav,271f83cd
info,registry,people,SM Curran,e94915e6
info,registry,people,V Kohli,ba607b88
