version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Kuwait
info,gender,male
info,season,2022/23
info,date,2023/03/12
info,event,Quadrangular Twenty20 Series (Hong Kong)
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Kuwait
info,toss_decision,field
info,umpire,G Sankaranarayanan
info,umpire,SJ D'Cruz
info,reserve_umpire,Niaz Ali
info,match_referee,N Hemlani
info,winner,Kuwait
info,winner_wickets,6
info,player,Bahrain,Haider Butt
info,player,Bahrain,P Kurup
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Shahbaz Badar
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid Abbasi
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Ali Zaheer
info,player,Kuwait,Usman Patel
info,player,Kuwait,Sayed Monib
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Shahrukh Quddus
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Ilyas Ahmed
info,player,Kuwait,Shiraz Khan
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ali Zaheer,04ed04d2
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Ilyas Ahmed,42a01b52
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,N Hemlani,bcc5904a
info,registry,people,Niaz Ali,e33a357d
info,registry,people,P Kurup,50ceaef6
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shahbaz Badar,23eedcd3
info,registry,people,Shahrukh Quddus,a80cc0cc
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Usman Patel,415c6ccf
