version,2.2.0
info,balls_per_over,6
info,team,Japan
info,team,China
info,gender,male
info,season,2023/24
info,date,2024/02/15
info,event,East Asia Cup
info,match_number,3
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Japan
info,toss_decision,bat
info,player_of_match,K Kadowaki-Fleming
info,player_of_match,L Yamamoto-Lake
info,umpire,Jayanth Babu
info,umpire,SJ D'Cruz
info,reserve_umpire,John Prakash
info,match_referee,Hasnain Kiani
info,winner,Japan
info,winner_runs,180
info,player,Japan,L Yamamoto-Lake
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,KH Abe
info,player,Japan,D Suzuki
info,player,Japan,I Takahashi
info,player,Japan,K Kato-Stafford
info,player,Japan,M Taniyama
info,player,Japan,C Hinze
info,player,Japan,R Drake
info,player,Japan,M Thurgate
info,player,Japan,MM Siddique
info,player,China,Wei Guo Lei
info,player,China,Huang Junjie
info,player,China,Shenjian Zheng
info,player,China,Zhuang Zelin
info,player,China,Tian Sen Qun
info,player,China,Chen Zhuo Yue
info,player,China,Zong Yuechao
info,player,China,Zou Kui
info,player,China,Zhao Tianle
info,player,China,Ma Qiancheng
info,player,China,Luo Shilin
info,registry,people,C Hinze,626af7ff
info,registry,people,Chen Zhuo Yue,47b33198
info,registry,people,D Suzuki,64c81abf
info,registry,people,Hasnain Kiani,9cce25b7
info,registry,people,Huang Junjie,7a25958c
info,registry,people,I Takahashi,c988daa1
info,registry,people,Jayanth Babu,e597f8e9
info,registry,people,John Prakash,b5f3d429
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,K Kato-Stafford,e03ca117
info,registry,people,KH Abe,f22d2247
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,Luo Shilin,c251b048
info,registry,people,M Taniyama,cbd91942
info,registry,people,M Thurgate,98aaa3f3
info,registry,people,MM Siddique,48024cf4
info,registry,people,Ma Qiancheng,91cc319d
info,registry,people,R Drake,57b3c398
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,Shenjian Zheng,a127e6f5
info,registry,people,Tian Sen Qun,3883402f
info,registry,people,Wei Guo Lei,87c93848
info,registry,people,Zhao Tianle,023c40b8
info,registry,people,Zhuang Zelin,a03ee6e1
info,registry,people,Zong Yuechao,f5932ad2
info,registry,people,Zou Kui,d5ca4759
