version,2.2.0
info,balls_per_over,6
info,team,India
info,team,New Zealand
info,gender,male
info,season,2022/23
info,date,2022/11/20
info,event,India tour of New Zealand
info,match_number,2
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,SA Yadav
info,umpire,CB Gaffaney
info,umpire,WR Knights
info,reserve_umpire,Kim Cotton
info,tv_umpire,CM Brown
info,match_referee,JJ Crowe
info,winner,India
info,winner_runs,65
info,player,India,Ishan Kishan
info,player,India,RR Pant
info,player,India,SA Yadav
info,player,India,SS Iyer
info,player,India,HH Pandya
info,player,India,DJ Hooda
info,player,India,Washington Sundar
info,player,India,B Kumar
info,player,India,Arshdeep Singh
info,player,India,Mohammed Siraj
info,player,India,YS Chahal
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,KS Williamson
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Santner
info,player,New Zealand,AF Milne
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,registry,people,AF Milne,350bb1b1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Kumar,2e81a32d
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,HH Pandya,dbe50b21
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Crowe,2e760301
info,registry,people,KS Williamson,d027ba9f
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,RR Pant,919a3be2
info,registry,people,SA Yadav,271f83cd
info,registry,people,SS Iyer,85ec8e33
info,registry,people,TG Southee,13c35c9e
info,registry,people,WR Knights,63cbf8d8
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YS Chahal,57ee1fde
