version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,United States of America
info,gender,male
info,season,2024
info,date,2024/04/13
info,event,Canada tour of United States of America
info,match_number,5
info,venue,Prairie View Cricket Complex
info,city,Houston
info,toss_winner,Canada
info,toss_decision,bat
info,player_of_match,NR Kumar
info,umpire,Jermaine Lindo
info,umpire,Vijaya Mallela
info,tv_umpire,A Gajjar
info,match_referee,Reon King
info,winner,United States of America
info,winner_wickets,4
info,player,Canada,A Johnson
info,player,Canada,SA Wijeratne
info,player,Canada,Pargat Singh
info,player,Canada,H Thaker
info,player,Canada,NR Kirton
info,player,Canada,DS Bajwa
info,player,Canada,Saad Bin Zafar
info,player,Canada,N Dutta
info,player,Canada,D Heyliger
info,player,Canada,RR Joshi
info,player,Canada,U Bhagwan
info,player,United States of America,AGS Gous
info,player,United States of America,NR Kumar
info,player,United States of America,Aaron Jones
info,player,United States of America,G Singh
info,player,United States of America,CJ Anderson
info,player,United States of America,SC van Schalkwyk
info,player,United States of America,Harmeet Singh
info,player,United States of America,NK Patel
info,player,United States of America,NP Kenjige
info,player,United States of America,SN Netravalkar
info,player,United States of America,Usman Rafiq
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Johnson,a28a7fba
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,CJ Anderson,8abdf100
info,registry,people,D Heyliger,f8c72766
info,registry,people,DS Bajwa,e3540b8c
info,registry,people,G Singh,e93b6c95
info,registry,people,H Thaker,c01d7726
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,N Dutta,e258a603
info,registry,people,NK Patel,c6e10e5c
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NR Kumar,b3bad3f2
info,registry,people,Pargat Singh,d2e67105
info,registry,people,RR Joshi,a323465c
info,registry,people,Reon King,20fbf68c
info,registry,people,SA Wijeratne,5fbd0632
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,U Bhagwan,44a2bb4f
info,registry,people,Usman Rafiq,d3c260a6
info,registry,people,Vijaya Mallela,85b6244a
