version,2.2.0
info,balls_per_over,6
info,team,Tanzania
info,team,Zimbabwe
info,gender,male
info,season,2023/24
info,date,2024/03/18
info,event,African Games
info,match_number,5
info,venue,"Achimota Senior Secondary School A Field, Accra"
info,city,Accra
info,toss_winner,Tanzania
info,toss_decision,bat
info,player_of_match,WT Mubayiwa
info,umpire,Habib Enesi
info,umpire,S Lackay
info,reserve_umpire,E Bruce-Okine
info,match_referee,O Chirombe
info,winner,Zimbabwe
info,winner_wickets,4
info,player,Tanzania,II Selemani
info,player,Tanzania,J Masquater
info,player,Tanzania,MO Kitunda
info,player,Tanzania,K Nassoro
info,player,Tanzania,AJ Jabiri
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,SA Jumbe
info,player,Tanzania,S Thakor
info,player,Tanzania,AM Kimote
info,player,Tanzania,ZR Jaboneke
info,player,Tanzania,YM Nkanya
info,player,Zimbabwe,R Mupfudza
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,J Campbell
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,T Munyonga
info,player,Zimbabwe,O Muzondo
info,player,Zimbabwe,WT Mubayiwa
info,player,Zimbabwe,T Musekiwa
info,player,Zimbabwe,TZ Chataira
info,player,Zimbabwe,T Gwandu
info,registry,people,AJ Jabiri,90624d37
info,registry,people,AM Kimote,34e36b65
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,C Madande,3560a786
info,registry,people,E Bruce-Okine,ac0aae9a
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,II Selemani,b2dadc51
info,registry,people,J Campbell,0e63259d
info,registry,people,J Masquater,f6d3cab2
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,O Chirombe,6345307f
info,registry,people,O Muzondo,ffc308ee
info,registry,people,R Mupfudza,f4417987
info,registry,people,S Lackay,d3a9aadd
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,T Gwandu,d1d83db3
info,registry,people,T Marumani,3d5d51a5
info,registry,people,T Munyonga,fbcfa528
info,registry,people,T Musekiwa,06fc82b8
info,registry,people,TZ Chataira,2e4d5f94
info,registry,people,WT Mubayiwa,2343b4bf
info,registry,people,YM Nkanya,9238dd92
info,registry,people,ZR Jaboneke,438aef39
