version,2.2.0
info,balls_per_over,6
info,team,Kuwait
info,team,Myanmar
info,gender,female
info,season,2023/24
info,date,2024/02/13
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,17
info,venue,"Royal Selangor Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Myanmar
info,toss_decision,field
info,player_of_match,Zeefa Jilani
info,umpire,Aasif Iqbal
info,umpire,Shivani Mishra
info,reserve_umpire,Gayathri Venugopal
info,match_referee,Ramesh Menon
info,winner,Kuwait
info,winner_runs,27
info,player,Kuwait,Priyada Murali
info,player,Kuwait,Zeefa Jilani
info,player,Kuwait,B Shanti
info,player,Kuwait,Khadija Khalil
info,player,Kuwait,Maryam Omar
info,player,Kuwait,Amna Tariq
info,player,Kuwait,SL Gomez
info,player,Kuwait,S Lita D'Sa
info,player,Kuwait,Mariamma Hyder
info,player,Kuwait,Maryyam Ashraf
info,player,Kuwait,Maria Jasvi
info,player,Myanmar,KM Myat
info,player,Myanmar,HH Aung
info,player,Myanmar,Zon Lin
info,player,Myanmar,TT Soe
info,player,Myanmar,ZT Kyaw
info,player,Myanmar,ZL Win
info,player,Myanmar,MPP San
info,player,Myanmar,LL Htun
info,player,Myanmar,TT Aung
info,player,Myanmar,Thae Thae Po
info,player,Myanmar,SY Win
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Amna Tariq,44b53fba
info,registry,people,B Shanti,f50ca46d
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,HH Aung,860042f6
info,registry,people,KM Myat,c1b4e25c
info,registry,people,Khadija Khalil,7c61a686
info,registry,people,LL Htun,ec687c3a
info,registry,people,MPP San,5bc290a2
info,registry,people,Maria Jasvi,4bed6af7
info,registry,people,Mariamma Hyder,c8ae2573
info,registry,people,Maryam Omar,b4d08794
info,registry,people,Maryyam Ashraf,1b9d3eb3
info,registry,people,Priyada Murali,f4b942ae
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,S Lita D'Sa,a289cfa0
info,registry,people,SL Gomez,02264be0
info,registry,people,SY Win,33d65ab4
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,Thae Thae Po,48a372a4
info,registry,people,ZL Win,b5714cf9
info,registry,people,ZT Kyaw,cdf63aaa
info,registry,people,Zeefa Jilani,3f2b40f0
info,registry,people,Zon Lin,3b492b8d
