version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Canada
info,gender,male
info,season,2024
info,date,2024/08/27
info,event,Netherlands Tri-Nation T20I Series
info,match_number,5
info,venue,"Sportpark Westvliet, The Hague"
info,city,The Hague
info,toss_winner,United States of America
info,toss_decision,bat
info,player_of_match,SR Mukkamalla
info,umpire,N Bathi
info,umpire,Rizwan Akram
info,reserve_umpire,M Prabhudesa
info,match_referee,Philip Thompson
info,winner,United States of America
info,winner_runs,20
info,player,United States of America,MD Patel
info,player,United States of America,SR Mukkamalla
info,player,United States of America,AGS Gous
info,player,United States of America,Aaron Jones
info,player,United States of America,Harmeet Singh
info,player,United States of America,NR Kumar
info,player,United States of America,Shayan Jahangir
info,player,United States of America,SC van Schalkwyk
info,player,United States of America,NP Kenjige
info,player,United States of America,Jasdeep Singh
info,player,United States of America,J Drysdale
info,player,Canada,A Johnson
info,player,Canada,K Tathgur
info,player,Canada,DS Bajwa
info,player,Canada,NR Kirton
info,player,Canada,S Movva
info,player,Canada,H Thaker
info,player,Canada,D Heyliger
info,player,Canada,Akhil Kumar
info,player,Canada,Saad Bin Zafar
info,player,Canada,Parveen Kumar
info,player,Canada,Kaleem Sana
info,registry,people,A Johnson,a28a7fba
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Akhil Kumar,2feb5b8d
info,registry,people,D Heyliger,f8c72766
info,registry,people,DS Bajwa,e3540b8c
info,registry,people,H Thaker,c01d7726
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,J Drysdale,23f94c02
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,K Tathgur,f190c775
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,MD Patel,25d7f1ac
info,registry,people,N Bathi,96a0edf9
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NR Kumar,b3bad3f2
info,registry,people,Parveen Kumar,e6b3c3cc
info,registry,people,Philip Thompson,0c677650
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Movva,ee229588
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Shayan Jahangir,571e1d2a
