version,2.2.0
info,balls_per_over,6
info,team,Botswana
info,team,Eswatini
info,gender,female
info,season,2025
info,date,2025/04/26
info,event,BCA Kalahari Women's T20 International Tournament
info,match_number,1
info,venue,"Botswana Cricket Association Oval 1, Gaborone"
info,city,Gaborone
info,toss_winner,Eswatini
info,toss_decision,field
info,player_of_match,G Matome
info,umpire,Imran Zakir
info,umpire,J Mukandi
info,reserve_umpire,L Msemburi
info,winner,Botswana
info,winner_runs,122
info,player,Botswana,L Mophakedi
info,player,Botswana,O Kgeresi
info,player,Botswana,T Shadrack
info,player,Botswana,A Mokgotlhe
info,player,Botswana,K Inakale
info,player,Botswana,G Matome
info,player,Botswana,M Phiase
info,player,Botswana,P Mapotsane
info,player,Botswana,W Moutswi
info,player,Botswana,A Motorwala
info,player,Botswana,TB Godisamang
info,player,Eswatini,Ntombizodwa Mkhatshwa
info,player,Eswatini,M Dlamini
info,player,Eswatini,LM Gwebu
info,player,Eswatini,N Mabila
info,player,Eswatini,LN Shabalala
info,player,Eswatini,N Gwebu
info,player,Eswatini,T Dlamini
info,player,Eswatini,T Malinga
info,player,Eswatini,OS Dlamini
info,player,Eswatini,L Mamba
info,player,Eswatini,LS Simelane
info,registry,people,A Mokgotlhe,781f1a40
info,registry,people,A Motorwala,7b309c8a
info,registry,people,G Matome,a6898f7a
info,registry,people,Imran Zakir,0071171d
info,registry,people,J Mukandi,b7954ae3
info,registry,people,K Inakale,eea862f6
info,registry,people,L Mamba,bcbb22dc
info,registry,people,L Mophakedi,c8cdbb92
info,registry,people,L Msemburi,ef6037f8
info,registry,people,LM Gwebu,5cc27b7e
info,registry,people,LN Shabalala,21548315
info,registry,people,LS Simelane,642b1b28
info,registry,people,M Dlamini,877a3433
info,registry,people,M Phiase,537cc79f
info,registry,people,N Gwebu,67e4248c
info,registry,people,N Mabila,21ef59e3
info,registry,people,Ntombizodwa Mkhatshwa,5d297269
info,registry,people,O Kgeresi,cba01c28
info,registry,people,OS Dlamini,51b9505a
info,registry,people,P Mapotsane,9ea555a4
info,registry,people,T Dlamini,b92d1fe6
info,registry,people,T Malinga,a6f6efba
info,registry,people,T Shadrack,6d972d02
info,registry,people,TB Godisamang,ed188d83
info,registry,people,W Moutswi,e8c42000
