version,2.2.0
info,balls_per_over,6
info,team,Jersey
info,team,Guernsey
info,gender,female
info,season,2024
info,date,2024/07/14
info,event,Inter-Insular Women's Twenty20 Series
info,venue,"Grainville, St Saviour"
info,city,St Saviour
info,toss_winner,Guernsey
info,toss_decision,field
info,player_of_match,C Miles
info,umpire,C Brooks
info,umpire,S Hodgson
info,winner,Jersey
info,winner_runs,104
info,player,Jersey,A Merritt
info,player,Jersey,A Aikenhead
info,player,Jersey,C Miles
info,player,Jersey,T Smith
info,player,Jersey,G Wetherall
info,player,Jersey,CM Greechan
info,player,Jersey,M Maguire
info,player,Jersey,E Gouge
info,player,Jersey,E Duffy
info,player,Jersey,S Hanson
info,player,Jersey,F Copley
info,player,Guernsey,PJ Stahelin
info,player,Guernsey,Rosie Davis
info,player,Guernsey,E Millington
info,player,Guernsey,H Eulenkamp
info,player,Guernsey,R Hubbard
info,player,Guernsey,K De La Mare
info,player,Guernsey,F Bulpitt
info,player,Guernsey,M Robinson
info,player,Guernsey,Emily Merrien
info,player,Guernsey,C Jennings
info,player,Guernsey,E Bourgaize
info,registry,people,A Aikenhead,007f121f
info,registry,people,A Merritt,4c87bd01
info,registry,people,C Brooks,53e855df
info,registry,people,C Jennings,463e127a
info,registry,people,C Miles,80f16d29
info,registry,people,CM Greechan,569bbcbb
info,registry,people,E Bourgaize,1308f9d8
info,registry,people,E Duffy,52bbb9e5
info,registry,people,E Gouge,e01e17ee
info,registry,people,E Millington,9877d487
info,registry,people,Emily Merrien,5257e839
info,registry,people,F Bulpitt,4f1f5bdd
info,registry,people,F Copley,637680bc
info,registry,people,G Wetherall,5c77d7cb
info,registry,people,H Eulenkamp,17751f98
info,registry,people,K De La Mare,089aec60
info,registry,people,M Maguire,0441a1f5
info,registry,people,M Robinson,262b1d7d
info,registry,people,PJ Stahelin,472a8672
info,registry,people,R Hubbard,a1d4bc51
info,registry,people,Rosie Davis,06ae90c9
info,registry,people,S Hanson,711c82b5
info,registry,people,S Hodgson,0d8392ae
info,registry,people,T Smith,f24ffaab
