version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Malaysia
info,gender,male
info,season,2023
info,date,2023/10/04
info,event,Asian Games Men's Cricket Competition
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Bangladesh
info,toss_decision,bat
info,umpire,Mahmood Kharoti
info,umpire,RSA Palliyaguruge
info,reserve_umpire,Sarika Prasad
info,tv_umpire,Asif Yaqoob
info,match_referee,GF Labrooy
info,winner,Bangladesh
info,winner_runs,2
info,player,Bangladesh,Parvez Hossain Emon
info,player,Bangladesh,Mahmudul Hasan Joy
info,player,Bangladesh,Zakir Hasan
info,player,Bangladesh,Saif Hassan
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Shahadat Hossain
info,player,Bangladesh,Jaker Ali
info,player,Bangladesh,Rakibul Hasan
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Sumon Khan
info,player,Bangladesh,R Mondol
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,S Muniandy
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Anwar Rahman
info,player,Malaysia,Syazrul Idrus
info,player,Malaysia,Pavandeep Singh
info,registry,people,Afif Hossain,37138918
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Anwar Rahman,28adcce9
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,Jaker Ali,cd56a813
info,registry,people,Mahmood Kharoti,d8ff8121
info,registry,people,Mahmudul Hasan Joy,4b51bd51
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Parvez Hossain Emon,489aaf0a
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,R Mondol,492ff0c2
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rakibul Hasan,77768f72
info,registry,people,Rishad Hossain,5935d694
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Saif Hassan,bb95564b
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shahadat Hossain,69e23303
info,registry,people,Sumon Khan,a84ccd7d
info,registry,people,Syazrul Idrus,6dba59e0
info,registry,people,Syed Aziz,6667067e
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zakir Hasan,e3e09091
info,registry,people,Zubaidi Zulkifle,dca8273d
