version,2.2.0
info,balls_per_over,6
info,team,Thailand
info,team,Scotland
info,gender,female
info,season,2024
info,date,2024/05/03
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,17
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Thailand
info,toss_decision,bat
info,player_of_match,KE Bryce
info,umpire,LDVV Silva
info,umpire,Shivani Mishra
info,reserve_umpire,Gazi Sohel
info,match_referee,SM Bartlett
info,winner,Scotland
info,winner_wickets,6
info,player,Thailand,N Boochatham
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,S Laomi
info,player,Thailand,S Khiaoto
info,player,Thailand,R Kanoh
info,player,Thailand,T Putthawong
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Chaturongrattana
info,player,Scotland,S Horley
info,player,Scotland,M McColl
info,player,Scotland,KE Bryce
info,player,Scotland,SJ Bryce
info,player,Scotland,A Lister
info,player,Scotland,PA Chatterji
info,player,Scotland,L Jack
info,player,Scotland,K Fraser
info,player,Scotland,R Slater
info,player,Scotland,HRA Rainey
info,player,Scotland,AH Maqsood
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,HRA Rainey,7027d12f
info,registry,people,K Fraser,a0a65375
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Jack,e565ceb7
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M McColl,d5fa2ab3
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,R Kanoh,5959370f
info,registry,people,R Slater,8a452195
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Horley,8cd72e0b
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SM Bartlett,7ba18406
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,T Putthawong,23e3f2d6
