version,2.2.0
info,balls_per_over,6
info,team,Malawi
info,team,Kenya
info,gender,female
info,season,2023
info,date,2023/09/03
info,event,ICC Women's T20 World Cup Africa Region Division Two Qualifier
info,match_number,5
info,venue,"Botswana Cricket Association Oval 1, Gaborone"
info,city,Gaborone
info,toss_winner,Malawi
info,toss_decision,bat
info,player_of_match,L Idambo
info,umpire,Justine Muzungu
info,umpire,K Klaaste
info,reserve_umpire,P Sizara
info,match_referee,SA Fritz
info,winner,Kenya
info,winner_wickets,7
info,player,Malawi,S Chinawa
info,player,Malawi,KM Chingaipe
info,player,Malawi,T Luka
info,player,Malawi,LL Dimba
info,player,Malawi,F Malefula
info,player,Malawi,S Kananji
info,player,Malawi,M Kudimba
info,player,Malawi,V Phiri
info,player,Malawi,N Gumaliyele
info,player,Malawi,T Mpandakwaya
info,player,Malawi,L Malino
info,player,Kenya,D Njoroge
info,player,Kenya,Q Abel
info,player,Kenya,M Mwangi
info,player,Kenya,V Ooko
info,player,Kenya,E Wachira
info,player,Kenya,L Idambo
info,player,Kenya,F Odhiambo
info,player,Kenya,MI Khagoitsa
info,player,Kenya,C Muthoni
info,player,Kenya,J Abwom
info,player,Kenya,K Ogola
info,registry,people,C Muthoni,f85462b1
info,registry,people,D Njoroge,626fbc80
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Malefula,6a405883
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,J Abwom,8d634767
info,registry,people,Justine Muzungu,b90044b7
info,registry,people,K Klaaste,6cc1d918
info,registry,people,K Ogola,7f7dc2ee
info,registry,people,KM Chingaipe,db32d60a
info,registry,people,L Idambo,27339093
info,registry,people,L Malino,7a81836e
info,registry,people,LL Dimba,53f88bf1
info,registry,people,M Kudimba,24ce1fcb
info,registry,people,M Mwangi,72de0105
info,registry,people,MI Khagoitsa,2d772f77
info,registry,people,N Gumaliyele,eda9895d
info,registry,people,P Sizara,5d45bb7f
info,registry,people,Q Abel,2e988457
info,registry,people,S Chinawa,bdbde085
info,registry,people,S Kananji,23917bf0
info,registry,people,SA Fritz,d15e60c8
info,registry,people,T Luka,44e008a5
info,registry,people,T Mpandakwaya,3fd351ed
info,registry,people,V Ooko,2ae76bf6
info,registry,people,V Phiri,8ffa1b3c
