version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,male
info,season,2024
info,date,2024/04/27
info,event,New Zealand tour of Pakistan
info,match_number,5
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,Shaheen Shah Afridi
info,umpire,Faisal Afridi
info,umpire,Rashid Riaz
info,reserve_umpire,Asif Yaqoob
info,tv_umpire,Aleem Dar
info,match_referee,AJ Pycroft
info,winner,Pakistan
info,winner_runs,9
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Babar Azam
info,player,Pakistan,Usman Khan
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Imad Wasim
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Usama Mir
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Abbas Afridi
info,player,New Zealand,TL Seifert
info,player,New Zealand,TA Blundell
info,player,New Zealand,MG Bracewell
info,player,New Zealand,MS Chapman
info,player,New Zealand,CE McConchie
info,player,New Zealand,JDS Neesham
info,player,New Zealand,JA Clarkson
info,player,New Zealand,ZGF Foulkes
info,player,New Zealand,IS Sodhi
info,player,New Zealand,BV Sears
info,player,New Zealand,W O'Rourke
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Abbas Afridi,2cec2a92
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,BV Sears,e1891e00
info,registry,people,Babar Azam,8a75e999
info,registry,people,CE McConchie,d285acaf
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JA Clarkson,bed90114
info,registry,people,JDS Neesham,9219eff0
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TA Blundell,21e5f325
info,registry,people,TL Seifert,4663bd23
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,Usman Khan,bafb9238
info,registry,people,W O'Rourke,cb9b8664
info,registry,people,ZGF Foulkes,30f92334
