version,2.2.0
info,balls_per_over,6
info,team,Brazil
info,team,Canada
info,gender,female
info,season,2024/25
info,date,2025/03/13
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,6
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Brazil
info,toss_decision,bat
info,player_of_match,TA Lavia
info,umpire,Jermaine Lindo
info,umpire,M Abbott
info,reserve_umpire,C La Borde
info,tv_umpire,JM Williams
info,match_referee,Denavon Hayles
info,winner,Canada
info,winner_wickets,7
info,player,Brazil,LV Boas
info,player,Brazil,L Agatha
info,player,Brazil,RMAM Avery
info,player,Brazil,L Cardoso
info,player,Brazil,AC Sabino
info,player,Brazil,CS Nascimento
info,player,Brazil,MR Machado
info,player,Brazil,MLG Silva
info,player,Brazil,NC Monteiro
info,player,Brazil,M Ribeiro
info,player,Brazil,L Moises
info,player,Canada,Habeeba Bader
info,player,Canada,A Perera
info,player,Canada,I Goordial-John
info,player,Canada,Amarpal Kaur
info,player,Canada,V Mahajan
info,player,Canada,K Mohini
info,player,Canada,K Kapadia
info,player,Canada,M Hundal
info,player,Canada,Rabbjyot Rajput
info,player,Canada,TA Lavia
info,player,Canada,T Thorpe
info,registry,people,A Perera,788afc32
info,registry,people,AC Sabino,dd45b04b
info,registry,people,Amarpal Kaur,3051fcc6
info,registry,people,C La Borde,32157f67
info,registry,people,CS Nascimento,df997334
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,Habeeba Bader,18d53879
info,registry,people,I Goordial-John,6e2ec862
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,K Kapadia,52fc5577
info,registry,people,K Mohini,f8b5cd9b
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Cardoso,5777d460
info,registry,people,L Moises,b27f9716
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Abbott,3e5f0c04
info,registry,people,M Hundal,213dc641
info,registry,people,M Ribeiro,38424a4d
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,MR Machado,4a4f94fa
info,registry,people,NC Monteiro,752af5a4
info,registry,people,RMAM Avery,4cf645c9
info,registry,people,Rabbjyot Rajput,8b1f5f91
info,registry,people,T Thorpe,9e547805
info,registry,people,TA Lavia,361b378b
info,registry,people,V Mahajan,8c42d7d8
