version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Hong Kong
info,gender,female
info,season,2023
info,date,2023/04/25
info,event,Women's T20 Quadrangular Series (in Namibia)
info,match_number,3
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,W Mwatile
info,umpire,E Haynes
info,umpire,H Hugo
info,reserve_umpire,E Lassen
info,winner,Namibia
info,winner_runs,60
info,player,Namibia,SA Wittmann
info,player,Namibia,JA Diergaardt
info,player,Namibia,Yasmeen Khan
info,player,Namibia,KA Green
info,player,Namibia,A van der Merwe
info,player,Namibia,E Van Zyl
info,player,Namibia,M Gorases
info,player,Namibia,D Foerster
info,player,Namibia,I van Zyl
info,player,Namibia,W Mwatile
info,player,Namibia,V Hamunyela
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Hill
info,player,Hong Kong,YS To
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Iqra Sahar
info,registry,people,A van der Merwe,02610bad
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,D Foerster,5596d5bf
info,registry,people,E Haynes,56e4f120
info,registry,people,E Lassen,a476d6d0
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,H Hugo,48f9193f
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Gorases,d034d60a
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,SA Wittmann,531aef3b
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,V Hamunyela,d758a366
info,registry,people,W Mwatile,5728635a
info,registry,people,Y Daswani,2038a273
info,registry,people,YS To,73db1940
info,registry,people,Yasmeen Khan,ade5c0c0
