version,2.2.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Seychelles
info,gender,male
info,season,2024/25
info,date,2024/10/19
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,2
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Seychelles
info,toss_decision,field
info,umpire,IO Oyieko
info,umpire,LB Gcuma
info,reserve_umpire,D Odhiambo
info,match_referee,ET Dube
info,winner,Zimbabwe
info,winner_runs,76
info,method,D/L
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,D Myers
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,T Musekiwa
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,T Gwandu
info,player,Seychelles,T Horpinitch
info,player,Seychelles,TKP Rajapaksha
info,player,Seychelles,Mazharul Islam
info,player,Seychelles,STRA de Silva
info,player,Seychelles,SKDT Madusanka
info,player,Seychelles,SR Mohan
info,player,Seychelles,HL Harji
info,player,Seychelles,N Krishna
info,player,Seychelles,S Rukmal
info,player,Seychelles,Jobayer Hossen
info,player,Seychelles,HAG Madhushanka
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,D Myers,d96165b5
info,registry,people,D Odhiambo,45994517
info,registry,people,ET Dube,4c0891bc
info,registry,people,HAG Madhushanka,1a597e24
info,registry,people,HL Harji,29663fda
info,registry,people,IO Oyieko,de4828fa
info,registry,people,Jobayer Hossen,656fc15b
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,Mazharul Islam,30564b3e
info,registry,people,N Krishna,c62a0327
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,S Rukmal,f5be7b08
info,registry,people,SKDT Madusanka,95c2d309
info,registry,people,SR Mohan,58533699
info,registry,people,STRA de Silva,21fe743b
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Gwandu,d1d83db3
info,registry,people,T Horpinitch,90c734f8
info,registry,people,T Marumani,3d5d51a5
info,registry,people,T Musekiwa,06fc82b8
info,registry,people,TKP Rajapaksha,b5dcec37
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
