version,2.2.0
info,balls_per_over,6
info,team,Ireland
info,team,South Africa
info,gender,male
info,season,2024/25
info,date,2024/09/29
info,event,Ireland vs South Africa
info,match_number,2
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,GR Adair
info,umpire,Jonathan Kennedy
info,umpire,M Hawthorne
info,reserve_umpire,Aidan Seaver
info,tv_umpire,R Black
info,match_referee,RS Madugalle
info,winner,Ireland
info,winner_runs,10
info,player,Ireland,PR Stirling
info,player,Ireland,GR Adair
info,player,Ireland,HT Tector
info,player,Ireland,GH Dockrell
info,player,Ireland,C Campher
info,player,Ireland,NA Rock
info,player,Ireland,MR Adair
info,player,Ireland,F Hand
info,player,Ireland,MJ Humphreys
info,player,Ireland,B White
info,player,Ireland,GI Hume
info,player,South Africa,RD Rickelton
info,player,South Africa,RR Hendricks
info,player,South Africa,MP Breetzke
info,player,South Africa,AK Markram
info,player,South Africa,T Stubbs
info,player,South Africa,PWA Mulder
info,player,South Africa,PE Kruger
info,player,South Africa,N Peter
info,player,South Africa,BC Fortuin
info,player,South Africa,LB Williams
info,player,South Africa,L Ngidi
info,registry,people,AK Markram,6a26221c
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,B White,1a448be0
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,C Campher,478a63e7
info,registry,people,F Hand,e3fe4b49
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GI Hume,25550d06
info,registry,people,GR Adair,4ec96094
info,registry,people,HT Tector,59ea70a4
info,registry,people,Jonathan Kennedy,f7ad4494
info,registry,people,L Ngidi,f834dcfc
info,registry,people,LB Williams,a1d95bd8
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,MJ Humphreys,2c54c49b
info,registry,people,MP Breetzke,35f173a0
info,registry,people,MR Adair,fc55ec67
info,registry,people,N Peter,212aeedd
info,registry,people,NA Rock,43f4087c
info,registry,people,PE Kruger,39181592
info,registry,people,PR Stirling,cf494ffe
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,R Black,156c8fb1
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,RS Madugalle,766b5798
info,registry,people,T Stubbs,85b3fab2
