version,2.2.0
info,balls_per_over,6
info,team,Seychelles
info,team,Mali
info,gender,male
info,season,2022/23
info,date,2022/11/18
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,8
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Mali
info,toss_decision,field
info,umpire,A Paleker
info,umpire,Itangishaka Olivier
info,reserve_umpire,D Odhiambo
info,match_referee,S Wadvalla
info,outcome,no result
info,player,Seychelles,Mazharul Islam
info,player,Seychelles,TKP Rajapaksha
info,player,Seychelles,SKDT Madusanka
info,player,Seychelles,STRA de Silva
info,player,Seychelles,D Kalvin
info,player,Seychelles,T Shanmugam
info,player,Seychelles,S Rukmal
info,player,Seychelles,N Krishna
info,player,Seychelles,S Udhayan
info,player,Seychelles,SR Rocket
info,player,Seychelles,SR Mohan
info,player,Mali,MT Diaby
info,player,Mali,Mohamed Coulibaly
info,player,Mali,L Berthe
info,player,Mali,L Sanogo
info,player,Mali,M Malle
info,player,Mali,CA Keita
info,player,Mali,MS Diawara
info,player,Mali,D Traore
info,player,Mali,S Kamate
info,player,Mali,SG Diaby
info,player,Mali,TM Macalou
info,registry,people,A Paleker,634b11ac
info,registry,people,CA Keita,5b9b8d98
info,registry,people,D Kalvin,895ae8b6
info,registry,people,D Odhiambo,45994517
info,registry,people,D Traore,273be75a
info,registry,people,Itangishaka Olivier,0ee3bb49
info,registry,people,L Berthe,8eb7c5a6
info,registry,people,L Sanogo,abbc06cf
info,registry,people,M Malle,e15c6692
info,registry,people,MS Diawara,8c95e2dd
info,registry,people,MT Diaby,5d00cd6f
info,registry,people,Mazharul Islam,30564b3e
info,registry,people,Mohamed Coulibaly,86ea6123
info,registry,people,N Krishna,c62a0327
info,registry,people,S Kamate,d7af6207
info,registry,people,S Rukmal,f5be7b08
info,registry,people,S Udhayan,a8d6305d
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SG Diaby,fe3e9880
info,registry,people,SKDT Madusanka,95c2d309
info,registry,people,SR Mohan,58533699
info,registry,people,SR Rocket,ee3bfb9b
info,registry,people,STRA de Silva,21fe743b
info,registry,people,T Shanmugam,60fc2c8c
info,registry,people,TKP Rajapaksha,b5dcec37
info,registry,people,TM Macalou,8a9320a1
