version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Argentina
info,gender,female
info,season,2023
info,date,2023/09/04
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,1
info,venue,"Woodley Cricket Field, Los Angeles"
info,city,Los Angeles
info,toss_winner,Argentina
info,toss_decision,field
info,player_of_match,IM Vaghela
info,umpire,AR Maddela
info,umpire,BV Taylor
info,reserve_umpire,Emmerson Carrington
info,match_referee,G McCrea
info,winner,United States of America
info,winner_runs,79
info,player,United States of America,D Dhingra
info,player,United States of America,JM Willathgamuwa
info,player,United States of America,A Kolan
info,player,United States of America,G Kodali
info,player,United States of America,AI Chudasama
info,player,United States of America,U Iftikhar
info,player,United States of America,CR Pagydyala
info,player,United States of America,RP Singh
info,player,United States of America,S Sriharsha
info,player,United States of America,SR Thadani
info,player,United States of America,IM Vaghela
info,player,Argentina,L Taylor
info,player,Argentina,A Galan
info,player,Argentina,V Vasquez
info,player,Argentina,M Martinez
info,player,Argentina,A Stocks
info,player,Argentina,M Castineiras
info,player,Argentina,A Prince
info,player,Argentina,M Lollo
info,player,Argentina,JC Cullen
info,player,Argentina,C Sosa
info,player,Argentina,N Patron Fuentes
info,registry,people,A Galan,ad5165c2
info,registry,people,A Kolan,85f5735b
info,registry,people,A Prince,da994dd7
info,registry,people,A Stocks,c999c416
info,registry,people,AI Chudasama,9414a81c
info,registry,people,AR Maddela,5c861579
info,registry,people,BV Taylor,99760152
info,registry,people,C Sosa,b2f4cb0d
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,G Kodali,f606177e
info,registry,people,G McCrea,46f4a901
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JC Cullen,22595a2d
info,registry,people,JM Willathgamuwa,0a10b268
info,registry,people,L Taylor,8af91a3e
info,registry,people,M Castineiras,b9094958
info,registry,people,M Lollo,e6d1f4bb
info,registry,people,M Martinez,f0ddeafb
info,registry,people,N Patron Fuentes,b29923b6
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Sriharsha,89f6c26f
info,registry,people,SR Thadani,76bda023
info,registry,people,U Iftikhar,73ff4720
info,registry,people,V Vasquez,f898a2c6
