version,2.2.0
info,balls_per_over,6
info,team,Australia
info,team,England
info,gender,male
info,season,2024
info,date,2024/06/08
info,event,ICC Men's T20 World Cup
info,match_number,17
info,venue,"Kensington Oval, Bridgetown, Barbados"
info,city,Bridgetown
info,toss_winner,England
info,toss_decision,field
info,player_of_match,A Zampa
info,umpire,JS Wilson
info,umpire,Nitin Menon
info,reserve_umpire,J Madanagopal
info,tv_umpire,Asif Yaqoob
info,match_referee,AJ Pycroft
info,winner,Australia
info,winner_runs,36
info,player,Australia,TM Head
info,player,Australia,DA Warner
info,player,Australia,MR Marsh
info,player,Australia,GJ Maxwell
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,MS Wade
info,player,Australia,PJ Cummins
info,player,Australia,MA Starc
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,WG Jacks
info,player,England,JM Bairstow
info,player,England,MM Ali
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,CJ Jordan
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,MA Wood
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AU Rashid,249d60c9
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DA Warner,dcce6f09
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Starc,3fb19989
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MM Ali,bb351c23
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Wade,afa7e784
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,PJ Cummins,ded9240e
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,WG Jacks,9caf69a1
