version,2.2.0
info,balls_per_over,6
info,team,Thailand
info,team,Cambodia
info,gender,male
info,season,2024/25
info,date,2024/11/20
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,4
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Cambodia
info,toss_decision,field
info,player_of_match,J Coetzee
info,umpire,BB Pradhan
info,umpire,Shivani Mishra
info,reserve_umpire,Izatullah Safi
info,match_referee,Ali Naqvi
info,winner,Thailand
info,winner_runs,16
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,AV Lazarus
info,player,Thailand,J Coetzee
info,player,Thailand,N Salekar
info,player,Thailand,S Rungrueang
info,player,Thailand,S Desungnoen
info,player,Thailand,K Senamontree
info,player,Thailand,N Senamontree
info,player,Thailand,Sarawut Maliwan
info,player,Cambodia,Salvin Stanly
info,player,Cambodia,Lakshit Gupta
info,player,Cambodia,M Chadha
info,player,Cambodia,US Hathinjar
info,player,Cambodia,Luqman Butt
info,player,Cambodia,E Beukes
info,player,Cambodia,Shah Abrar Hussain
info,player,Cambodia,GC Murtaza
info,player,Cambodia,Utkarsh Jain
info,player,Cambodia,Phon Bunthean
info,player,Cambodia,NT Gireesh
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,BB Pradhan,8603d942
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,E Beukes,fbb8cf87
info,registry,people,GC Murtaza,6cc4d322
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,J Coetzee,3ad06915
info,registry,people,K Senamontree,e553e27f
info,registry,people,Lakshit Gupta,52b090a6
info,registry,people,Luqman Butt,7a6decc8
info,registry,people,M Chadha,93a77ad4
info,registry,people,N Salekar,54403333
info,registry,people,N Senamontree,44e00a4c
info,registry,people,NT Gireesh,32190239
info,registry,people,Phon Bunthean,8981deb8
info,registry,people,S Desungnoen,3eb26dc4
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,Salvin Stanly,a6631b55
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,Shah Abrar Hussain,6ec13131
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,US Hathinjar,5f77f23a
info,registry,people,Utkarsh Jain,1f4a78c5
info,registry,people,Y Saranonnakkun,9c93c0a3
