version,2.2.0
info,balls_per_over,6
info,team,Eswatini
info,team,Mozambique
info,gender,male
info,season,2022/23
info,date,2022/12/02
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,8
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Mozambique
info,toss_decision,field
info,player_of_match,F Damiao Couana
info,umpire,BP Jele
info,umpire,S Kintu
info,reserve_umpire,F Mutizwa
info,match_referee,SA Fritz
info,winner,Mozambique
info,winner_wickets,9
info,player,Eswatini,T Sandeep
info,player,Eswatini,Adil Butt
info,player,Eswatini,Naeem Gull
info,player,Eswatini,C Forbes
info,player,Eswatini,H Rashid
info,player,Eswatini,Umair Qasim
info,player,Eswatini,Mohammed Alamgir
info,player,Eswatini,D Polpitiya
info,player,Eswatini,Eric Phiri
info,player,Eswatini,M Jele
info,player,Eswatini,M Magagula
info,player,Mozambique,J Bulele
info,player,Mozambique,F Damiao Couana
info,player,Mozambique,JJ Huo
info,player,Mozambique,DV Macome
info,player,Mozambique,CB Roposo
info,player,Mozambique,L Emilio
info,player,Mozambique,AA Navicha
info,player,Mozambique,FE Carava
info,player,Mozambique,ZE Matsinhe
info,player,Mozambique,FA Cossa
info,player,Mozambique,LI Salomone
info,registry,people,AA Navicha,5c805a60
info,registry,people,Adil Butt,fde53ec1
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Forbes,8a9e3cd0
info,registry,people,CB Roposo,31f01815
info,registry,people,D Polpitiya,b7062209
info,registry,people,DV Macome,af4c15c5
info,registry,people,Eric Phiri,b6355062
info,registry,people,F Damiao Couana,2c535f08
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,FA Cossa,3b52d247
info,registry,people,FE Carava,dc650363
info,registry,people,H Rashid,725c73f2
info,registry,people,J Bulele,2dde3e62
info,registry,people,JJ Huo,d816fc1c
info,registry,people,L Emilio,31adde7f
info,registry,people,LI Salomone,a7b67d5d
info,registry,people,M Jele,1a8cedc8
info,registry,people,M Magagula,7a787b98
info,registry,people,Mohammed Alamgir,e0f12392
info,registry,people,Naeem Gull,4c49c917
info,registry,people,S Kintu,ff387f93
info,registry,people,SA Fritz,d15e60c8
info,registry,people,T Sandeep,b794a78d
info,registry,people,Umair Qasim,e086735b
info,registry,people,ZE Matsinhe,03ef382c
