version,2.2.0
info,balls_per_over,6
info,team,Eswatini
info,team,St Helena
info,gender,male
info,season,2024/25
info,date,2024/11/24
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C
info,match_number,6
info,venue,University of Lagos Cricket Oval
info,city,Lagos
info,toss_winner,Eswatini
info,toss_decision,bat
info,player_of_match,Adil Butt
info,umpire,Aasif Iqbal
info,umpire,A Louw
info,reserve_umpire,S Dambanevana
info,match_referee,O Chirombe
info,winner,Eswatini
info,winner_runs,48
info,player,Eswatini,Adil Butt
info,player,Eswatini,Muhammad Amin
info,player,Eswatini,J Suleman
info,player,Eswatini,T Sandeep
info,player,Eswatini,M Khojbariya
info,player,Eswatini,Umair Qasim
info,player,Eswatini,M Jele
info,player,Eswatini,R Sandeep
info,player,Eswatini,M Magagula
info,player,Eswatini,S Jele
info,player,Eswatini,TW Dlamini
info,player,St Helena,S Crowie
info,player,St Helena,A Yon
info,player,St Helena,D Young
info,player,St Helena,R Francis
info,player,St Helena,J Essex
info,player,St Helena,B Isaac
info,player,St Helena,AR Leo
info,player,St Helena,J Thomas
info,player,St Helena,CR Richards
info,player,St Helena,B Leo
info,player,St Helena,BK Stroud
info,registry,people,A Louw,5eecae5d
info,registry,people,A Yon,99bf1fb7
info,registry,people,AR Leo,e13f8b16
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Adil Butt,fde53ec1
info,registry,people,B Isaac,2c14421f
info,registry,people,B Leo,740a5494
info,registry,people,BK Stroud,6577a6ad
info,registry,people,CR Richards,c10a581f
info,registry,people,D Young,5d9d83e6
info,registry,people,J Essex,84012d7f
info,registry,people,J Suleman,cacd240a
info,registry,people,J Thomas,11b785d6
info,registry,people,M Jele,1a8cedc8
info,registry,people,M Khojbariya,e1631e47
info,registry,people,M Magagula,7a787b98
info,registry,people,Muhammad Amin,ce9ce42f
info,registry,people,O Chirombe,6345307f
info,registry,people,R Francis,06b766f4
info,registry,people,R Sandeep,175937f6
info,registry,people,S Crowie,4040951f
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Jele,1c5c65d6
info,registry,people,T Sandeep,b794a78d
info,registry,people,TW Dlamini,a1cdd009
info,registry,people,Umair Qasim,e086735b
