version,2.2.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Samoa
info,gender,female
info,season,2024/25
info,date,2025/03/10
info,event,The Pacific-France Women Championship
info,match_number,1
info,venue,"N'Du Stadium, Noumea, New Caledonia"
info,city,Noumea
info,toss_winner,Vanuatu
info,toss_decision,bat
info,player_of_match,N Navaika
info,winner,Vanuatu
info,winner_runs,8
info,player,Vanuatu,R Andrew
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,N Navaika
info,player,Vanuatu,S Solman
info,player,Vanuatu,A Chilia
info,player,Vanuatu,S Stephen
info,player,Vanuatu,V Mansale
info,player,Vanuatu,G Chilia
info,player,Vanuatu,V Vira
info,player,Vanuatu,M Tarimiala
info,player,Vanuatu,N Kakor
info,player,Samoa,F Sisifo
info,player,Samoa,J Sanele
info,player,Samoa,NJM Salima
info,player,Samoa,AF Aoina
info,player,Samoa,TH Semau
info,player,Samoa,T Iosefo
info,player,Samoa,O Lefaga
info,player,Samoa,AF Mapu
info,player,Samoa,A Sootaga
info,player,Samoa,F Malotutoatasi
info,player,Samoa,MFL Tafea
info,registry,people,A Chilia,a0d07fd6
info,registry,people,A Sootaga,967984d0
info,registry,people,AF Aoina,217f5194
info,registry,people,AF Mapu,d9238aee
info,registry,people,F Malotutoatasi,3e2a2df8
info,registry,people,F Sisifo,eff8319a
info,registry,people,G Chilia,daf255ce
info,registry,people,J Sanele,67bd483c
info,registry,people,M Tarimiala,0030a57d
info,registry,people,MFL Tafea,01733928
info,registry,people,N Kakor,1bc685ee
info,registry,people,N Navaika,b0023708
info,registry,people,NJM Salima,13cc5f9d
info,registry,people,O Lefaga,540fb139
info,registry,people,R Andrew,66c1accf
info,registry,people,S Solman,24ed1f75
info,registry,people,S Stephen,b48304b5
info,registry,people,T Iosefo,335b2768
info,registry,people,TH Semau,175d59dd
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Mansale,7163637f
info,registry,people,V Vira,94271647
