version,2.2.0
info,balls_per_over,6
info,team,Malawi
info,team,Ghana
info,gender,male
info,season,2024
info,date,2024/09/22
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,5
info,venue,University of Dar-es-Salaam Ground
info,city,Dar-es-Salaam
info,toss_winner,Ghana
info,toss_decision,field
info,player_of_match,MA Baig
info,umpire,D Odhiambo
info,umpire,LB Gcuma
info,reserve_umpire,Patric Makumbi
info,match_referee,S Wadvalla
info,winner,Malawi
info,winner_runs,25
info,player,Malawi,D Kansonkho
info,player,Malawi,G Kansonkho
info,player,Malawi,Sami Sohail
info,player,Malawi,A Limdawala
info,player,Malawi,MA Baig
info,player,Malawi,GM Ntambalika
info,player,Malawi,M Choamba
info,player,Malawi,B Pondani
info,player,Malawi,P Zuze
info,player,Malawi,D Jakiel
info,player,Malawi,SZ Vayani
info,player,Ghana,R Baaleri
info,player,Ghana,P Yevugah
info,player,Ghana,OH Agbomadzie
info,player,Ghana,PK Ananya
info,player,Ghana,SK Awiah
info,player,Ghana,A Osei
info,player,Ghana,V Ateak
info,player,Ghana,G Bakiweyem
info,player,Ghana,F Baleri
info,player,Ghana,KS Bagabena
info,player,Ghana,E Frimpong
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,A Osei,375322d1
info,registry,people,B Pondani,e5117568
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,D Odhiambo,45994517
info,registry,people,E Frimpong,3c13fc3b
info,registry,people,F Baleri,6efdad14
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,GM Ntambalika,8c8a3f08
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Choamba,5570c4c1
info,registry,people,MA Baig,89394502
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,P Yevugah,5c842df4
info,registry,people,P Zuze,04420914
info,registry,people,PK Ananya,bc69a6d3
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Baaleri,26c9b5be
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SK Awiah,bc3fc527
info,registry,people,SZ Vayani,a4afc486
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,V Ateak,65a60be7
