version,2.2.0
info,balls_per_over,6
info,team,Ghana
info,team,Sierra Leone
info,gender,male
info,season,2022/23
info,date,2022/12/05
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,16
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Sierra Leone
info,toss_decision,field
info,umpire,BP Jele
info,umpire,Habib Enesi
info,reserve_umpire,Stephen Harris
info,match_referee,SA Fritz
info,winner,Sierra Leone
info,winner_runs,18
info,method,D/L
info,player,Ghana,Amoluk Singh
info,player,Ghana,SK Awiah
info,player,Ghana,JK Vifah
info,player,Ghana,R Baaleri
info,player,Ghana,OH Agbomadzie
info,player,Ghana,R Bakum
info,player,Ghana,DK Anefie
info,player,Ghana,TK Joseph
info,player,Ghana,KS Bagabena
info,player,Ghana,G Bakiweyem
info,player,Ghana,P Ayoleyine
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,A Turay
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,G Sesay
info,player,Sierra Leone,C Bah
info,player,Sierra Leone,A Gbla
info,player,Sierra Leone,Zahid Khan
info,player,Sierra Leone,Mohamed Khan
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,S Conteh
info,player,Sierra Leone,J Bangura
info,registry,people,A Gbla,34ab1e6e
info,registry,people,A Turay,11a22126
info,registry,people,Amoluk Singh,266473e2
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Bah,7213d757
info,registry,people,DK Anefie,f98c24ec
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,J Bangura,d7acab5d
info,registry,people,JK Vifah,a1448a10
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,L Lamin,5a970aab
info,registry,people,Mohamed Khan,13501ff4
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,P Ayoleyine,20e3030d
info,registry,people,R Baaleri,26c9b5be
info,registry,people,R Bakum,c74c583b
info,registry,people,R Coker,3239c8a9
info,registry,people,S Conteh,8f70fff7
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SK Awiah,bc3fc527
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,TK Joseph,4fafd79a
info,registry,people,Zahid Khan,bf896894
