version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2024/02/27
info,event,Nepal Tri-Nation T20I Series
info,match_number,1
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Namibia
info,toss_decision,bat
info,player_of_match,JN Loftie-Eaton
info,umpire,BB Pradhan
info,umpire,VK Jha
info,reserve_umpire,DN Subedi
info,match_referee,V Narayan Kutty
info,winner,Namibia
info,winner_runs,20
info,player,Namibia,M van Lingen
info,player,Namibia,MB Kruger
info,player,Namibia,JP Kotze
info,player,Namibia,JN Frylinck
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,JJ Smit
info,player,Namibia,T Lungameni
info,player,Namibia,PD Blignaut
info,player,Namibia,R Trumpelmann
info,player,Namibia,BM Scholtz
info,player,Namibia,ZE Green
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,Gulsan Jha
info,player,Nepal,S Jora
info,player,Nepal,B Yadav
info,player,Nepal,Sompal Kami
info,player,Nepal,Karan KC
info,player,Nepal,A Bohara
info,registry,people,A Bohara,64fb6b15
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,B Yadav,ef07f354
info,registry,people,BB Pradhan,8603d942
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,DN Subedi,fb0a571f
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,M van Lingen,7eb36269
info,registry,people,MB Kruger,c51add25
info,registry,people,PD Blignaut,20ab5aad
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,T Lungameni,1688f2dc
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VK Jha,5d46eb72
info,registry,people,ZE Green,8716233e
