version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Ireland
info,gender,female
info,season,2024/25
info,date,2024/12/09
info,event,Ireland Women tour of Bangladesh
info,match_number,3
info,venue,Sylhet Stadium
info,city,Sylhet
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,L Delany
info,umpire,Shathira Jakir
info,umpire,S Redfern
info,reserve_umpire,Dolly Rani
info,tv_umpire,Rokeya Sultana
info,match_referee,SR Das
info,winner,Ireland
info,winner_wickets,4
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Jannatul Ferdus
info,player,Bangladesh,Jahanara Alam
info,player,Bangladesh,Sanjida Akter Meghla
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Paul
info,player,Ireland,L Delany
info,player,Ireland,R Stokell
info,player,Ireland,AN Kelly
info,player,Ireland,CE Coulter Reilly
info,player,Ireland,A Dalzell
info,player,Ireland,FA Sargent
info,player,Ireland,AK Maguire
info,registry,people,A Dalzell,66498395
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AK Maguire,f888a374
info,registry,people,AN Kelly,397369e0
info,registry,people,CE Coulter Reilly,39f351c6
info,registry,people,Dolly Rani,2821c99e
info,registry,people,FA Sargent,fa6e2cb3
info,registry,people,GH Lewis,1b9d1579
info,registry,people,Jahanara Alam,752183c1
info,registry,people,Jannatul Ferdus,fa948618
info,registry,people,L Delany,b4f73b44
info,registry,people,L Paul,07248d8e
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Stokell,def7b1bb
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Rokeya Sultana,20abf9b9
info,registry,people,S Mostary,94de63bf
info,registry,people,S Redfern,5b038989
info,registry,people,SR Das,f4e52218
info,registry,people,Sanjida Akter Meghla,a6412417
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Shorna Akter,89895ae1
