version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Brazil
info,gender,female
info,season,2023
info,date,2023/09/05
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,3
info,venue,"Woodley Cricket Field, Los Angeles"
info,city,Los Angeles
info,toss_winner,Brazil
info,toss_decision,field
info,player_of_match,S Sriharsha
info,umpire,AR Maddela
info,umpire,Emmerson Carrington
info,reserve_umpire,Vijaya Mallela
info,match_referee,G McCrea
info,winner,United States of America
info,winner_runs,39
info,player,United States of America,D Dhingra
info,player,United States of America,JM Willathgamuwa
info,player,United States of America,A Kolan
info,player,United States of America,S Sriharsha
info,player,United States of America,RP Singh
info,player,United States of America,IM Vaghela
info,player,United States of America,G Kodali
info,player,United States of America,CR Pagydyala
info,player,United States of America,U Iftikhar
info,player,United States of America,SR Thadani
info,player,United States of America,AI Chudasama
info,player,Brazil,LV Boas
info,player,Brazil,L Agatha
info,player,Brazil,RMAM Avery
info,player,Brazil,L Cardoso
info,player,Brazil,MR Machado
info,player,Brazil,RD de Sousa
info,player,Brazil,CS Nascimento
info,player,Brazil,M Artur
info,player,Brazil,NC Monteiro
info,player,Brazil,MLG Silva
info,player,Brazil,M Ribeiro
info,registry,people,A Kolan,85f5735b
info,registry,people,AI Chudasama,9414a81c
info,registry,people,AR Maddela,5c861579
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,CS Nascimento,df997334
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,G Kodali,f606177e
info,registry,people,G McCrea,46f4a901
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JM Willathgamuwa,0a10b268
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Cardoso,5777d460
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Artur,400b36cd
info,registry,people,M Ribeiro,38424a4d
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,MR Machado,4a4f94fa
info,registry,people,NC Monteiro,752af5a4
info,registry,people,RD de Sousa,2901e489
info,registry,people,RMAM Avery,4cf645c9
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Sriharsha,89f6c26f
info,registry,people,SR Thadani,76bda023
info,registry,people,U Iftikhar,73ff4720
info,registry,people,Vijaya Mallela,85b6244a
