version,2.2.0
info,balls_per_over,6
info,team,Argentina
info,team,Bermuda
info,gender,male
info,season,2022/23
info,date,2023/02/21
info,event,Bermuda tour of Argentina
info,match_number,1
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,bat
info,umpire,Emmerson Carrington
info,umpire,N Duguid
info,reserve_umpire,A Elliott
info,match_referee,Reon King
info,winner,Bermuda
info,winner_wickets,6
info,player,Argentina,P Baron
info,player,Argentina,R Escobar
info,player,Argentina,A Ferguson
info,player,Argentina,LA Musiani
info,player,Argentina,A Kirschbaum
info,player,Argentina,T Rossi
info,player,Argentina,P Arrighi
info,player,Argentina,AAP Rivero
info,player,Argentina,S Rossi
info,player,Argentina,H Fennell
info,player,Argentina,A Husain
info,player,Bermuda,KS Leverock
info,player,Bermuda,TS Fray
info,player,Bermuda,T Manders
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,MO Jones
info,player,Bermuda,JE Pitcher
info,player,Bermuda,D Sabir
info,player,Bermuda,Z Burgess
info,player,Bermuda,S Smith
info,player,Bermuda,DL Brangman
info,player,Bermuda,JDA Richardson
info,registry,people,A Elliott,f48d5563
info,registry,people,A Ferguson,4a8d1b14
info,registry,people,A Husain,034d3c52
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,D Sabir,04bc296f
info,registry,people,DL Brangman,dab18aa5
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,H Fennell,0d38ab25
info,registry,people,JDA Richardson,e8c00c13
info,registry,people,JE Pitcher,ab126ea8
info,registry,people,KS Leverock,e1592949
info,registry,people,LA Musiani,efbd35a9
info,registry,people,MO Jones,0e0afd8b
info,registry,people,N Duguid,64495506
info,registry,people,P Arrighi,79e754db
info,registry,people,P Baron,c6d1b1e4
info,registry,people,R Escobar,9fa5496f
info,registry,people,Reon King,20fbf68c
info,registry,people,S Rossi,56544f81
info,registry,people,S Smith,18a0ba24
info,registry,people,T Manders,6d2b9724
info,registry,people,T Rossi,5470418a
info,registry,people,TS Fray,c7537f8a
info,registry,people,Z Burgess,d0042e16
