version,2.2.0
info,balls_per_over,6
info,team,Kuwait
info,team,United Arab Emirates
info,gender,male
info,season,2023/24
info,date,2023/10/31
info,event,ICC Men's T20 World Cup Asia Qualifier Final
info,match_number,8
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,Kuwait
info,toss_decision,bat
info,player_of_match,Ali Naseer
info,umpire,BB Pradhan
info,umpire,Sarika Prasad
info,reserve_umpire,V Kalidas
info,match_referee,Ali Naqvi
info,winner,United Arab Emirates
info,winner_wickets,5
info,player,Kuwait,D Sheeli
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Mohamed Shafeeq
info,player,United Arab Emirates,Khalid Shah
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,V Aravind
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Nilansh Keswani
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Zahoor Khan
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,BB Pradhan,8603d942
info,registry,people,Basil Hameed,adbf0400
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,D Sheeli,d5e5f96b
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,Khalid Shah,9e432a38
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mirza Ahmed,9a54c30a
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Nilansh Keswani,424a7994
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Usman Patel,415c6ccf
info,registry,people,V Aravind,cddafe26
info,registry,people,V Kalidas,42d76418
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Yasin Patel,ecdd8d60
info,registry,people,Zahoor Khan,f0e293b0
