match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,0.1,Rwanda,Ghana,O Tuyisenge,E Dusingizimana,G Bakiweyem,1,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,0.2,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,G Bakiweyem,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,0.3,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,G Bakiweyem,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,0.4,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,G Bakiweyem,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,0.5,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,G Bakiweyem,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,0.6,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,G Bakiweyem,1,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,1.1,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,M Aboagye,6,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,1.2,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,M Aboagye,1,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,1.3,Rwanda,Ghana,O Tuyisenge,E Dusingizimana,M Aboagye,4,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,1.4,Rwanda,Ghana,O Tuyisenge,E Dusingizimana,M Aboagye,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,1.5,Rwanda,Ghana,O Tuyisenge,E Dusingizimana,M Aboagye,1,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,1.6,Rwanda,Ghana,E Dusingizimana,O Tuyisenge,M Aboagye,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,2.1,Rwanda,Ghana,O Tuyisenge,E Dusingizimana,G Bakiweyem,0,0,,,,,,caught,O Tuyisenge,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,2.2,Rwanda,Ghana,Babar Ali,E Dusingizimana,G Bakiweyem,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,2.3,Rwanda,Ghana,Babar Ali,E Dusingizimana,G Bakiweyem,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,2.4,Rwanda,Ghana,Babar Ali,E Dusingizimana,G Bakiweyem,0,0,,,,,,,,,
1400981,2023/24,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",1,2.5,Rwanda,Ghana,Babar Ali,E Dusingizimana,G Bakiweyem,0,0,,,,,,caught,Babar Ali,,
