version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Rwanda
info,gender,male
info,season,2024/25
info,date,2024/12/05
info,event,Africa Continental Cup
info,match_number,4
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,R Obuya
info,umpire,Gaston Niyibizi
info,umpire,Habib Enesi
info,reserve_umpire,IO Oyieko
info,match_referee,ET Dube
info,winner,Uganda
info,winner_runs,112
info,method,D/L
info,player,Uganda,R Obuya
info,player,Uganda,SG Mangela
info,player,Uganda,Raghav Dhawan
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,DM Nakrani
info,player,Uganda,AR Ramjani
info,player,Uganda,F Achelam
info,player,Uganda,J Miyaji
info,player,Uganda,F Nsubuga
info,player,Uganda,C Kyewuta
info,player,Uganda,H Ssenyondo
info,player,Rwanda,O Manishimwe
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,I Niyomugabo
info,player,Rwanda,D Gumyusenge
info,player,Rwanda,RJ Pierre
info,player,Rwanda,E Rukiriza
info,player,Rwanda,M Akayezu
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,I Ntirenganya
info,registry,people,AR Ramjani,30d8136b
info,registry,people,C Kyewuta,395695ce
info,registry,people,D Gumyusenge,eeb78e0a
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Achelam,b6b3ee6e
info,registry,people,F Nsubuga,87e33d07
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Niyomugabo,72bf5103
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Miyaji,414d8a10
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,R Obuya,6bc04a3e
info,registry,people,RJ Pierre,4fc115af
info,registry,people,Raghav Dhawan,ac64c2ef
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,SG Mangela,eb3c3cca
info,registry,people,Z Bimenyimana,ba57fb08
