version,2.2.0
info,balls_per_over,6
info,team,Kuwait
info,team,Nepal
info,gender,female
info,season,2023/24
info,date,2024/02/14
info,event,Asian Cricket Council Women's Premier Cup
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Kuwait
info,toss_decision,bat
info,player_of_match,SR Magar
info,umpire,Nur Hijrah
info,umpire,Saleema Imtiaz
info,reserve_umpire,Shathira Jakir
info,tv_umpire,Ramasamy Venkatesh
info,match_referee,B Ramani
info,winner,Nepal
info,winner_wickets,8
info,method,D/L
info,player,Kuwait,Priyada Murali
info,player,Kuwait,Zeefa Jilani
info,player,Kuwait,B Shanti
info,player,Kuwait,Khadija Khalil
info,player,Kuwait,Maryam Omar
info,player,Kuwait,Amna Tariq
info,player,Kuwait,S Lita D'Sa
info,player,Kuwait,Maryyam Ashraf
info,player,Kuwait,Mariamma Hyder
info,player,Kuwait,Maria Jasvi
info,player,Kuwait,Madeeha Zuberi
info,player,Nepal,K Kunwar
info,player,Nepal,SR Magar
info,player,Nepal,I Barma
info,player,Nepal,K Joshi
info,player,Nepal,D Bhatta
info,player,Nepal,Apsari Begam
info,player,Nepal,K Shrestha
info,player,Nepal,RC Belbashi
info,player,Nepal,A Karmacharya
info,player,Nepal,Puja Mahato
info,player,Nepal,Roma Thapa
info,registry,people,A Karmacharya,e1492aed
info,registry,people,Amna Tariq,44b53fba
info,registry,people,Apsari Begam,eb765b41
info,registry,people,B Ramani,92ad5353
info,registry,people,B Shanti,f50ca46d
info,registry,people,D Bhatta,7d1a3ff7
info,registry,people,I Barma,521abce2
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,K Shrestha,119de50f
info,registry,people,Khadija Khalil,7c61a686
info,registry,people,Madeeha Zuberi,c86675a9
info,registry,people,Maria Jasvi,4bed6af7
info,registry,people,Mariamma Hyder,c8ae2573
info,registry,people,Maryam Omar,b4d08794
info,registry,people,Maryyam Ashraf,1b9d3eb3
info,registry,people,Nur Hijrah,6c068720
info,registry,people,Priyada Murali,f4b942ae
info,registry,people,Puja Mahato,4b95058b
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,Roma Thapa,05d9faac
info,registry,people,S Lita D'Sa,a289cfa0
info,registry,people,SR Magar,61c22ad0
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Zeefa Jilani,3f2b40f0
