version,2.2.0
info,balls_per_over,6
info,team,England
info,team,South Africa
info,gender,female
info,season,2024/25
info,date,2024/11/27
info,event,England Women tour of South Africa
info,match_number,2
info,venue,"Willowmoore Park, Benoni"
info,city,Benoni
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,S Glenn
info,umpire,K Klaaste
info,umpire,Siphelele Gasa
info,reserve_umpire,Lauren Agenbag
info,tv_umpire,N Perera
info,match_referee,SA Fritz
info,winner,England
info,winner_runs,36
info,player,England,ME Bouchier
info,player,England,DN Wyatt
info,player,England,SIR Dunkley
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,FG Kemp
info,player,England,S Ecclestone
info,player,England,CE Dean
info,player,England,S Glenn
info,player,England,L Filer
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,F Tunnicliffe
info,player,South Africa,A Dercksen
info,player,South Africa,CL Tryon
info,player,South Africa,N Shangase
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,E Marx
info,player,South Africa,N Mlaba
info,player,South Africa,A Hlubi
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Hlubi,ccaa3434
info,registry,people,AE Jones,b05e45e4
info,registry,people,CE Dean,c6625a26
info,registry,people,CL Tryon,4d4605e6
info,registry,people,DN Wyatt,a139c379
info,registry,people,E Marx,be592751
info,registry,people,F Tunnicliffe,41f534cd
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,HC Knight,4ba0289e
info,registry,people,K Klaaste,6cc1d918
info,registry,people,L Filer,31adb911
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,ME Bouchier,c2554b59
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N Shangase,b17a4a93
info,registry,people,N de Klerk,ea544967
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Jafta,34304210
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,T Brits,06659caa
