version,2.2.0
info,balls_per_over,6
info,team,Qatar
info,team,Indonesia
info,gender,female
info,season,2023/24
info,date,2024/02/13
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,23
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,NLKWR Dewi
info,umpire,Saleema Imtiaz
info,umpire,Zahid Usman
info,reserve_umpire,RK Yadav
info,match_referee,V Bowen
info,winner,Indonesia
info,winner_wickets,9
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,A Mare
info,player,Qatar,Rizpha Bano
info,player,Qatar,Aysha
info,player,Qatar,SA Panayan
info,player,Qatar,S Dhadwal
info,player,Qatar,T Kale
info,player,Qatar,SK Rana
info,player,Qatar,RS Quyn
info,player,Qatar,KP Bhuva
info,player,Qatar,S Thapa
info,player,Indonesia,K Winda Prastini
info,player,Indonesia,NLKWR Dewi
info,player,Indonesia,M Corazon
info,player,Indonesia,Mia Arda
info,player,Indonesia,NMP Suwandewi
info,player,Indonesia,RD Pangestuti
info,player,Indonesia,A Andriani
info,player,Indonesia,D Wulandari
info,player,Indonesia,NKF Rada Rani
info,player,Indonesia,NW Sariani
info,player,Indonesia,SKPD Ayu
info,registry,people,A Andriani,e697d88c
info,registry,people,A Mare,57a25400
info,registry,people,Aysha,37ceee4e
info,registry,people,D Wulandari,8c0d904e
info,registry,people,K Winda Prastini,bd6f7c24
info,registry,people,KP Bhuva,138becd4
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,M Corazon,0baa36e0
info,registry,people,Mia Arda,6e60d58c
info,registry,people,NKF Rada Rani,39f4084c
info,registry,people,NLKWR Dewi,d04fc4a4
info,registry,people,NMP Suwandewi,52b57a65
info,registry,people,NW Sariani,e910d955
info,registry,people,RD Pangestuti,63fc4b92
info,registry,people,RK Yadav,a872bd90
info,registry,people,RS Quyn,41721f6b
info,registry,people,Rizpha Bano,c7832845
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,SK Rana,47884f8e
info,registry,people,SKPD Ayu,f02c0809
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,T Kale,bc9bd4c6
info,registry,people,V Bowen,7297ac4d
info,registry,people,Zahid Usman,5ee3b5bd
