version,2.2.0
info,balls_per_over,6
info,team,England
info,team,India
info,gender,female
info,season,2023/24
info,date,2023/12/10
info,event,England Women tour of India
info,match_number,3
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,SR Patil
info,umpire,HAS Khalid
info,umpire,VG Rathi
info,reserve_umpire,R Pandit
info,tv_umpire,N Janani
info,match_referee,VR Nagre
info,winner,India
info,winner_wickets,5
info,player,England,SIR Dunkley
info,player,England,ME Bouchier
info,player,England,A Capsey
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,DR Gibson
info,player,England,BAM Heath
info,player,England,FG Kemp
info,player,England,S Ecclestone
info,player,England,CE Dean
info,player,England,M Gaur
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,JI Rodrigues
info,player,India,DB Sharma
info,player,India,H Kaur
info,player,India,RM Ghosh
info,player,India,AB Kaur
info,player,India,SR Patil
info,player,India,S Ishaque
info,player,India,TR Sadhu
info,player,India,Renuka Singh
info,registry,people,A Capsey,910dd54e
info,registry,people,AB Kaur,9565fda6
info,registry,people,AE Jones,b05e45e4
info,registry,people,BAM Heath,3b5a9438
info,registry,people,CE Dean,c6625a26
info,registry,people,DB Sharma,201fef33
info,registry,people,DR Gibson,d2763568
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,H Kaur,53cd8da6
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HC Knight,4ba0289e
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,M Gaur,df9cdebf
info,registry,people,M Mani,8d1ade08
info,registry,people,ME Bouchier,c2554b59
info,registry,people,N Janani,d06a665d
info,registry,people,R Pandit,8a604384
info,registry,people,RM Ghosh,721e0199
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Ishaque,f2c1f0e5
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TR Sadhu,25ca0573
info,registry,people,VG Rathi,144e5b16
info,registry,people,VR Nagre,fadaac76
