version,2.2.0
info,balls_per_over,6
info,team,Ghana
info,team,Rwanda
info,gender,male
info,season,2023/24
info,date,2023/10/12
info,event,West Africa Trophy
info,match_number,15
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Ghana
info,toss_decision,bat
info,player_of_match,K Irakoze
info,umpire,O Akintokun
info,umpire,T Oladunjoye
info,reserve_umpire,D Odhiambo
info,match_referee,Tonye Timinadi
info,winner,Rwanda
info,winner_wickets,9
info,player,Ghana,SK Awiah
info,player,Ghana,A Osei
info,player,Ghana,OH Agbomadzie
info,player,Ghana,R Bakum
info,player,Ghana,TK Joseph
info,player,Ghana,M Aboagye
info,player,Ghana,G Bakiweyem
info,player,Ghana,KS Bagabena
info,player,Ghana,DK Anefie
info,player,Ghana,Nurudeen Ibrahim
info,player,Ghana,Syed Aqeel Israr
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,Hamza Khan
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,O Manishimwe
info,player,Rwanda,K Irakoze
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,E Rukiriza
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Sebareme
info,registry,people,A Osei,375322d1
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,D Odhiambo,45994517
info,registry,people,DK Anefie,f98c24ec
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,Hamza Khan,44a5f2b2
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,M Aboagye,afe8ff08
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,Nurudeen Ibrahim,d0d9790b
info,registry,people,O Akintokun,6293933e
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,R Bakum,c74c583b
info,registry,people,SK Awiah,bc3fc527
info,registry,people,Syed Aqeel Israr,4286e899
info,registry,people,T Oladunjoye,a6348da2
info,registry,people,TK Joseph,4fafd79a
info,registry,people,Tonye Timinadi,5cc0fccb
info,registry,people,Z Bimenyimana,ba57fb08
