version,2.2.0
info,balls_per_over,6
info,team,England
info,team,India
info,gender,male
info,season,2024/25
info,date,2025/01/28
info,event,England tour of India
info,match_number,3
info,venue,"Saurashtra Cricket Association Stadium, Rajkot"
info,city,Rajkot
info,toss_winner,India
info,toss_decision,field
info,player_of_match,CV Varun
info,umpire,KN Ananthapadmanabhan
info,umpire,R Pandit
info,reserve_umpire,J Madanagopal
info,tv_umpire,Nitin Menon
info,match_referee,J Srinath
info,winner,England
info,winner_runs,26
info,player,England,PD Salt
info,player,England,BM Duckett
info,player,England,JC Buttler
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,JL Smith
info,player,England,J Overton
info,player,England,BA Carse
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,MA Wood
info,player,India,SV Samson
info,player,India,Abhishek Sharma
info,player,India,SA Yadav
info,player,India,Tilak Varma
info,player,India,HH Pandya
info,player,India,Washington Sundar
info,player,India,AR Patel
info,player,India,Dhruv Jurel
info,player,India,Mohammed Shami
info,player,India,Ravi Bishnoi
info,player,India,CV Varun
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,BA Carse,cad40f5e
info,registry,people,BM Duckett,5f26f677
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HC Brook,4ae1755b
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Overton,59559bc2
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JL Smith,c834c290
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Wood,8d92a2c3
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Pandit,8a604384
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,Washington Sundar,f19ccfad
