version,2.2.0
info,balls_per_over,6
info,team,Thailand
info,team,Malaysia
info,gender,female
info,season,2024
info,date,2024/07/20
info,event,Women's Asia Cup
info,match_number,3
info,venue,Rangiri Dambulla International Stadium
info,city,Dambulla
info,toss_winner,Thailand
info,toss_decision,bat
info,player_of_match,N Koncharoenkai
info,umpire,LDVV Silva
info,umpire,H Yerzal
info,reserve_umpire,Shathira Jakir
info,tv_umpire,N Perera
info,match_referee,JM Pereira
info,winner,Thailand
info,winner_runs,22
info,player,Thailand,N Boochatham
info,player,Thailand,N Chaihan
info,player,Thailand,N Koncharoenkai
info,player,Thailand,T Putthawong
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,S Khiaoto
info,player,Thailand,R Kanoh
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Laomi
info,player,Thailand,A Suwanchonrathi
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Wan Julia
info,player,Malaysia,Siow Tzin Yee
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,J Intan
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Suabika Manivannan
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,SM Dhanusri
info,player,Malaysia,Amalin Sorfina
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Amalin Sorfina,734cded2
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,H Yerzal,86197ea5
info,registry,people,J Intan,2dfdd316
info,registry,people,JM Pereira,f9a4a039
info,registry,people,LDVV Silva,6e226c31
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaihan,61b60bb3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,N Perera,129709f9
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,R Kanoh,5959370f
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SM Dhanusri,4e4d2c20
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,Suabika Manivannan,a044506e
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
