version,2.2.0
info,balls_per_over,6
info,team,Australia
info,team,India
info,gender,male
info,season,2023/24
info,date,2023/11/23
info,event,Australia tour of India
info,match_number,1
info,venue,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
info,city,Visakhapatnam
info,toss_winner,India
info,toss_decision,field
info,player_of_match,SA Yadav
info,umpire,Nitin Menon
info,umpire,R Pandit
info,reserve_umpire,KN Ananthapadmanabhan
info,tv_umpire,J Madanagopal
info,match_referee,J Srinath
info,winner,India
info,winner_wickets,2
info,player,Australia,SPD Smith
info,player,Australia,MW Short
info,player,Australia,JP Inglis
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,AM Hardie
info,player,Australia,MS Wade
info,player,Australia,SA Abbott
info,player,Australia,NT Ellis
info,player,Australia,JP Behrendorff
info,player,Australia,T Sangha
info,player,India,YBK Jaiswal
info,player,India,RD Gaikwad
info,player,India,Ishan Kishan
info,player,India,SA Yadav
info,player,India,Tilak Varma
info,player,India,RK Singh
info,player,India,AR Patel
info,player,India,Ravi Bishnoi
info,player,India,Arshdeep Singh
info,player,India,Mukesh Kumar
info,player,India,M Prasidh Krishna
info,registry,people,AM Hardie,d405c0d5
info,registry,people,AR Patel,2e171977
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JP Inglis,989889ff
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Short,a90e53ec
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Pandit,8a604384
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SA Yadav,271f83cd
info,registry,people,SPD Smith,30a45b23
info,registry,people,T Sangha,52c952d9
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,YBK Jaiswal,6c19c6e5
