version,2.2.0
info,balls_per_over,6
info,team,Jersey
info,team,Belgium
info,gender,male
info,season,2024
info,date,2024/07/10
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,10
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Belgium
info,toss_decision,field
info,player_of_match,B Ward
info,umpire,M Burns
info,umpire,Rizwan Akram
info,reserve_umpire,M Jameson
info,match_referee,H Pack
info,winner,Jersey
info,winner_runs,108
info,player,Jersey,H Carlyon
info,player,Jersey,NA Greenwood
info,player,Jersey,AM Tribe
info,player,Jersey,JW Jenner
info,player,Jersey,ZM Tribe
info,player,Jersey,C Brennan
info,player,Jersey,B Ward
info,player,Jersey,J Sumerauer
info,player,Jersey,CW Perchard
info,player,Jersey,JE Dunford
info,player,Jersey,D Birrell
info,player,Belgium,Muhammad Muneeb
info,player,Belgium,Aziz Mohammad
info,player,Belgium,A Raza
info,player,Belgium,B Niaz
info,player,Belgium,Shaheryar Butt
info,player,Belgium,Sheraz Sheikh
info,player,Belgium,Saber Zakhil
info,player,Belgium,Khalid Ahmadi
info,player,Belgium,D Dewald
info,player,Belgium,Sajad Ahmadzai
info,player,Belgium,Muhammad Fahim
info,registry,people,A Raza,838bc6ab
info,registry,people,AM Tribe,86f84b37
info,registry,people,Aziz Mohammad,b3e9555a
info,registry,people,B Niaz,b7824537
info,registry,people,B Ward,9e0bd203
info,registry,people,C Brennan,80f9fd4f
info,registry,people,CW Perchard,9f998ed8
info,registry,people,D Birrell,aea11d1d
info,registry,people,D Dewald,f97e4db3
info,registry,people,H Carlyon,42bf1b7d
info,registry,people,H Pack,fed53c91
info,registry,people,J Sumerauer,0b581ed6
info,registry,people,JE Dunford,89a7dd4a
info,registry,people,JW Jenner,32a8161e
info,registry,people,Khalid Ahmadi,cf0b9a0d
info,registry,people,M Burns,b3bd0666
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,Muhammad Fahim,5c57229d
info,registry,people,Muhammad Muneeb,5338b9f5
info,registry,people,NA Greenwood,7ca68967
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,Saber Zakhil,036dcf9b
info,registry,people,Sajad Ahmadzai,6978bff0
info,registry,people,Shaheryar Butt,b6bad765
info,registry,people,Sheraz Sheikh,4aad6842
info,registry,people,ZM Tribe,96fe3e9f
