version,2.2.0
info,balls_per_over,6
info,team,Qatar
info,team,Saudi Arabia
info,gender,male
info,season,2024/25
info,date,2024/12/15
info,event,Gulf T20I Championship
info,match_number,6
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,Usman Khalid
info,umpire,G Pillai
info,umpire,Zahid Usman
info,reserve_umpire,Asim Mehmood
info,tv_umpire,Shiju Sam
info,match_referee,Iftikhar Ali
info,winner,Saudi Arabia
info,winner_wickets,9
info,player,Qatar,I Liyanage
info,player,Qatar,Saqlain Arshad
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Muhammad Asim
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Mujeeb-ur-Rehman
info,player,Qatar,Amir Farooq
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,Muhammad Jabir
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Choudhry Md Imran
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Ahmad Raza
info,player,Saudi Arabia,Nawazish Akhtar
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Zain Ul Abidin
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Ahmad Raza,6bfa638b
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,Asim Mehmood,4109cbec
info,registry,people,Choudhry Md Imran,d92d4f5e
info,registry,people,Faisal Khan,a7553f15
info,registry,people,G Pillai,c363921c
info,registry,people,I Liyanage,826e1017
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Asim,b424d3d3
info,registry,people,Muhammad Jabir,b67af1c4
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Mujeeb-ur-Rehman,1a8f879b
info,registry,people,Nawazish Akhtar,7503149b
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Zahid Usman,5ee3b5bd
info,registry,people,Zain Ul Abidin,b93b87ae
