version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Uganda
info,gender,male
info,season,2023
info,date,2023/08/28
info,event,East Africa Cup
info,match_number,14
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,bat
info,winner,Uganda
info,winner_wickets,8
info,player,Rwanda,O Manishimwe
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,C Rububagumya
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,E Rukiriza
info,player,Rwanda,I Mugisha
info,player,Rwanda,E Sebareme
info,player,Rwanda,JM Iradukunda
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,Bilal Hassun
info,player,Uganda,D Wabwire
info,player,Uganda,H Ssenyondo
info,player,Uganda,CN Kakuru
info,player,Uganda,P Murungi
info,player,Uganda,K Waiswa
info,player,Uganda,R Lutaaya
info,player,Uganda,AR Ramjani
info,player,Uganda,S Nsubuga
info,registry,people,AR Ramjani,30d8136b
info,registry,people,Bilal Hassun,1a9e9efe
info,registry,people,C Rububagumya,8088632c
info,registry,people,CN Kakuru,f6aed283
info,registry,people,D Wabwire,a628a5c8
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,I Mugisha,d3eedb51
info,registry,people,JM Iradukunda,f58295c2
info,registry,people,K Waiswa,a3a275ec
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,R Lutaaya,04e0cdec
info,registry,people,RG Mukasa,011f6b42
info,registry,people,S Nsubuga,58cb36aa
info,registry,people,S Sesazi,c2c975f9
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
