version,2.2.0
info,balls_per_over,6
info,team,South Africa
info,team,West Indies
info,gender,male
info,season,2024
info,date,2024/05/26
info,event,South Africa tour of West Indies
info,match_number,3
info,venue,"Sabina Park, Kingston, Jamaica"
info,city,Kingston
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,J Charles
info,umpire,LS Reifer
info,umpire,PA Gustard
info,reserve_umpire,GO Brathwaite
info,tv_umpire,N Duguid
info,match_referee,RB Richardson
info,winner,West Indies
info,winner_wickets,8
info,player,South Africa,Q de Kock
info,player,South Africa,RR Hendricks
info,player,South Africa,RD Rickelton
info,player,South Africa,MP Breetzke
info,player,South Africa,HE van der Dussen
info,player,South Africa,PWA Mulder
info,player,South Africa,PE Kruger
info,player,South Africa,G Coetzee
info,player,South Africa,BC Fortuin
info,player,South Africa,N Peter
info,player,South Africa,A Nortje
info,player,West Indies,BA King
info,player,West Indies,J Charles
info,player,West Indies,KR Mayers
info,player,West Indies,A Athanaze
info,player,West Indies,ADS Fletcher
info,player,West Indies,FA Allen
info,player,West Indies,HR Walsh
info,player,West Indies,AJ Hosein
info,player,West Indies,G Motie
info,player,West Indies,S Joseph
info,player,West Indies,OC McCoy
info,registry,people,A Athanaze,58c2fac4
info,registry,people,A Nortje,acdc62f5
info,registry,people,ADS Fletcher,1bae756b
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,BA King,7fca84b7
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,FA Allen,b52ffbbd
info,registry,people,G Coetzee,3204c99f
info,registry,people,G Motie,97bdec3d
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,HE van der Dussen,9948e262
info,registry,people,HR Walsh,1ac2a995
info,registry,people,J Charles,09a9d073
info,registry,people,KR Mayers,73c18486
info,registry,people,LS Reifer,5dee559a
info,registry,people,MP Breetzke,35f173a0
info,registry,people,N Duguid,64495506
info,registry,people,N Peter,212aeedd
info,registry,people,OC McCoy,529eb9e0
info,registry,people,PA Gustard,25bcf808
info,registry,people,PE Kruger,39181592
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RB Richardson,410e2f12
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,S Joseph,97290faf
